,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
2083,Purchase of welfare goods Re: Emerging/Re-emerging Disease Program SB# 2 (4919-200-000) UNDER PR#2020-06-2811,1575500,06/07/2020,13/07/2020,J AGRO TRADERS CORP,1507000,06/07/2020,06/07/2020,Local Government Unit of the Island Garden City of Samal,0.956521739,Not classified,,,
2084,"Procurement of Various medical and laboratory supplies and materials (Vial, Cryogenic)",1505000,02/06/2020,01/08/2020,ASSIL ENTERPRISES,1505000,24/04/2020,02/06/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
2085,"Purchase of Drugs and Medicines (Ampicilin 500mg, Ampicilin 1gm, etc.) re: Management Control on Corona Virus Disease 2019 (COVID-19)",1504180,12/06/2020,16/06/2020,P.A. Mendoza Trading & General Merchandise,1504180,09/06/2020,09/06/2020,Provincial Government of Batangas,1,Not classified,,,
2086,FARM PRODUCTIVITY ASSISTANCE FOR ARBs AFFECTED BY COVID-19 PANDEMIC,1805897.93,02/06/2020,08/06/2020,GRAND LOGISTICS AND HOLDING CORPORATION,1501083.84,20/05/2020,02/06/2020,DEPARTMENT OF AGRARIAN REFORM PROVINCIAL OFFICE - MATI CITY,0.831211895,Not classified,,,
2087,Purchase of 10005 Trays of Eggs to be used for relief operation COVID-19 pandemic from Bayanihan Grant to Cities and Municipalities,1700850,11/05/2020,28/05/2020,VLP SAHARA FARM CORP.,1500750,08/05/2020,08/05/2020,"MUNICIPALITY OF MATAASNAKAHOY, BATANGAS",0.882352941,Not classified,,,
2088,Clean Rice for the Victims / Survivor of Covid -19,1500460,13/04/2020,19/05/2020,CHARLYN GRAINS STATION,1500460,13/04/2020,13/04/2020,Local Government Unit of Passi City,1,Not classified,,,
2089,PURCHASE OF VARIOUS LABORATORY CONSUMABLES FOR BULACAN PROVINCIAL BLOOD CENTER,1500190,20/04/2020,27/04/2020,STA. ANA ENTERPRISES,1500190,20/04/2020,20/04/2020,Provincial Government of Bulacan,1,Not classified,,,
2090,Procurement of PPE's,1500000,13/05/2020,13/06/2020,23 AND ME PHARMACEUTICAL CORPORATION,1500000,13/05/2020,13/05/2020,City of Bogo,1,Not classified,,,
2091,"Purchase of 1,200 sacks of Rice",1500000,15/04/2020,20/04/2020,NATIONAL FOOD AUTHORITY,1500000,15/04/2020,20/04/2020,"Municipality of Dingle, Iloilo",1,Not classified,,,
2092,Purchase of 1000 Sacks of Rice to be Partially Distributed to Identified Households,1150000,10/04/2020,15/04/2020,National Food Authority,1500000,16/04/2020,17/04/2020,"LGU-VALDERRAMA, ANTIQUE",1.304347826,Not classified,,,
2093,"Purchase of Various Medicines, Vitamins and Medical Supplies for Use at MHO Calasiao",1500000,17/04/2020,25/04/2020,Rhenamae's Trading,1500000,17/04/2020,23/04/2020,LGU CALASIAO PANGASINAN,1,Not classified,,,
2094,"Purchase of Various Medicines, Vitamins and Medical Supplie(Continuation p.2)s",1500000,17/04/2020,25/04/2020,Rhenamae's Trading,1500000,17/07/2020,23/04/2020,LGU CALASIAO PANGASINAN,1,Not classified,,,
2095,Purchase of Various Medical Equipment,1500000,18/06/2020,23/06/2020,INNERCORE HEALTHCARE ENT. INC.,1500000,18/06/2020,26/06/2020,Benguet Provincial Government,1,Not classified,,,
2096,Procurement of Other Supplies,1500000,20/04/2020,27/04/2020,FAIR & SQUARE MARKETING COMPANY,1500000,08/04/2020,20/04/2020,Provincial Government of Agusan del Sur,1,Not classified,,,
2097,Emergency Purchase of Vitamins,1500000,24/04/2020,30/04/2020,"EADRIX PHARMACEUTICAL PHILS.,INC",1500000,23/04/2020,27/04/2020,Municipality of Guimba,1,Not classified,,,
2098,Procurement of Portable/Mobile Room Air Purification Unit,1500000,16/06/2020,14/09/2020,"AMI Equipment Services & Solutions, Inc.",1500000,28/04/2020,16/06/2020,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),1,Not classified,,,
2099,500 sets Personal Protective Equipment for COVID19 Crisis,1500000,22/06/2020,06/07/2020,NEGROS MEDICAL TRADING,1500000,02/06/2020,18/06/2020,"LGU - Kabankalan City, Neg. Occ.",1,Not classified,,,
2100,Procurement of Portable/Mobile Room Air Purification Unit,1500000,30/04/2020,29/07/2020,"AMI Equipment Services & Solutions, Inc.",1500000,13/04/2020,30/04/2020,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),1,Not classified,,,
2101,"Purchase of 1500 sacks of rice (25kg/sack) to be distributed to the families affected by the ECQ due to COVID19 outbreak at LGU Lingayen, Pangasinan",1500000,27/04/2020,28/04/2020,Mariqueta G. Navarro,1500000,27/04/2020,28/04/2020,Local Government Unit of Lingayen,1,Not classified,,,
2102,10 units Truck Rental for 30 days,1650000,29/04/2020,29/05/2020,VMS Trucking Services,1500000,29/04/2020,30/04/2020,Cebu City Government,0.909090909,Not classified,,,
2103,1 unit ventilator,1500000,06/05/2020,06/05/2020,"Respicare Enterprises, Inc",1500000,21/04/2020,06/05/2020,Benguet Provincial Government,1,Not classified,,,
2104,"Supply and Delivery of 3,000 Gift Certificate at P500.00 each",1500000,26/05/2020,02/06/2020,"Market Strategic Firm, Inc.",1500000,26/05/2020,01/06/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2105,600 bags Conventional Yellow Hybrid Corn Seeds (NSIC 2002 Cn141),1500000,08/05/2020,08/06/2020,"Asian Hybrid Seed Technologies, Inc.",1500000,28/04/2020,29/04/2020,Department of Agriculture RFO 5,1,Not classified,,,
2106,FOOD SUPPLIES FOR THE USE OF CDRRMO - COVID 19 MULTI AGENCY COORDINATING CENTER,1500000,29/04/2020,04/05/2020,PIONEER BUENAS COMMODITIES CORP.,1500000,29/04/2020,30/04/2020,LGU Tagum City,1,Not classified,,,
2107,Supply and Delivery of Knapsack Sprayer,1500000,16/03/2020,26/03/2020,O.J.G.C. Enterprises,1500000,16/03/2020,17/03/2020,City Government of Taguig,1,Not classified,,,
2108,Truck Rental for 90 days,1650000,15/04/2020,14/05/2020,VMS Trucking Services,1500000,15/04/2020,15/04/2020,Cebu City Government,0.909090909,Not classified,,,
2109,Purchase of Medicines/ Medical Supplies,1500000,06/05/2020,20/05/2020,Zanice Pharmaceutical,1499949,05/05/2020,05/05/2020,"MUNICIPALITY OF SUYO, ILOCOS SUR",0.999966,Not classified,,,
2110,Drugs and Medicine UNDER PR#2020-05-2363,1499878,16/06/2020,23/06/2020,"DAVAO ATHENA DRUG & GENERAL MERCHANDISE, INC.",1499878,15/06/2020,16/06/2020,Local Government Unit of the Island Garden City of Samal,1,Not classified,,,
2111,DELIVERY OF MEDICINES AMIDS COVID-19,1500000,22/04/2020,22/04/2020,CANOMED CORPORATION,1499852.8,22/04/2020,21/04/2020,"LOCAL GOVERNMENT OF MARIA AURORA, AURORA",0.999901867,Not classified,,,
2112,"Purchase of 300 sacks Commercial Rice, 250 boxes Sardines and 185 boxes Noodles",1499750,18/06/2020,23/06/2020,F & N Enterprises and Gen. Merchandise,1499750,22/06/2020,23/06/2020,Provincial Government of Pangasinan,1,Not classified,,,
2113,Procurement of Medicines and Vitamins,1499966,26/05/2020,01/06/2020,ZANICE PHARMACEUTICAL,1499676,20/05/2020,01/06/2020,Municipality of Gregorio del Pilar,0.999806662,Not classified,,,
2114,"Procurement for the Supply & Delivery of Medical Supplies to be use in the management of all PUM, PUI, and COVID-19 patients",1499500,15/06/2020,15/07/2020,EASYLIFE MEDICAL ENTERPRISE,1499500,15/06/2020,15/06/2020,LGU-Olongapo City,1,Not classified,,,
2115,Medicines for NCOV Response of MHO,1500000,30/04/2020,04/05/2020,B-Shine Pharma,1499006,30/04/2020,04/05/2020,"Municipality of San Jose de Buenavista, Antique",0.999337333,Not classified,,,
2116,Procurement of COVID-19 Testing Kits,1498900,04/06/2020,07/06/2020,BLUEDRAGON PHARMACEUTICAL TRADING,1498900,03/06/2020,04/06/2020,Municipality of Santa Catalina,1,Not classified,,,
2117,Procurement of Medical Supplies and Laboratory Instrument,5000000,10/07/2020,25/07/2020,JNK MEDICAL SALES,1498500,01/07/2020,10/07/2020,Provincial Government of Agusan del Sur,0.2997,Not classified,,,
2118,Purchase of 666 sacks Commercial Rice 50kgs/sack,1498500,05/05/2020,08/05/2020,F & N Enterprises and Gen. Mdse.,1498500,07/05/2020,08/05/2020,Provincial Government of Pangasinan,1,Not classified,,,
2119,"Purchase of 300 bags Rice, 211 boxes Sardines and 305 boxes Noodles",1497620,18/06/2020,22/06/2020,SOFIA Enterprises,1497620,22/06/2020,22/06/2020,Provincial Government of Pangasinan,1,Not classified,,,
2120,Emergency purchase of rice,1497600,24/04/2020,24/04/2020,Melzon & Meldin Enterprises,1497600,24/04/2020,24/04/2020,"Local Government Unit - Mabitac, Laguna",1,Not classified,,,
2121,DISTRIBUTION OF RELIEF GOODS,1496000,23/04/2020,24/04/2020,VENZER'S TRADING,1496000,23/04/2020,23/04/2020,LGU-Bayambang,1,Not classified,,,
2122,Procurement of COVID Protective and Preventive Supplies,3487620,06/05/2020,06/06/2020,AJ General Merchandise,1493720,04/05/2020,22/05/2020,LGU CLAVER,0.428292073,Not classified,,,
2123,Purchase of Disinfectant and Hygene Kit,1563035,19/06/2020,26/06/2020,8J Pharmacy,1490340,18/06/2020,24/06/2020,Local Government Unit of Pastrana,0.953491125,Not classified,,,
2124,ULTRA LOW FREEZER,1500000,06/07/2020,13/07/2020,AQUAMED ENTERPRISE,1490000,24/06/2020,24/06/2020,BATANGAS MEDICAL CENTER,0.993333333,Not classified,,,
2125,SUPPLY & DELIVERY OF DRESSED CHICKENS,1550000,30/04/2020,15/05/2020,ESTRALL MARKETING,1488000,29/04/2020,29/04/2020,"LGU-MUNICIPALITY OF MALINAO, AKLAN",0.96,Not classified,,,
2126,Construction of Quarantine Facility (Phase II),1498050.09,25/06/2020,05/08/2020,"Astro Builders and Construction Resources, Inc.",1487588.81,19/06/2020,24/06/2020,"MUNICIPALITY OF PINILI, ILOCOS NORTE",0.993016736,Not classified,,,
2127,Negotiated Procurement (Emergency Purchase Under Section 53.2) for the Supply and Delivery of Personal Protection Equipment (PPE) for the use of Bai Ian District Hospital,1487400,29/05/2020,29/05/2020,MFR Medical Equipment & Supply,1487400,28/05/2020,29/05/2020,Capiz Provincial Government,1,Not classified,,,
2128,Purchase of Hospital and Medical supplies for the COVID response,1600000,17/04/2020,24/07/2020,Juniper 3 Procurement Corp,1486250,16/04/2020,17/07/2020,"LOCAL GOVERNMENT UNIT OF SAN GUILLERMO, ISABELA",0.92890625,Not classified,,,
2129,"Extension of Accommodation, Rooms, for COVID-19 responder, (1,100.00 x 45 rooms = Php 49,500 x 30 days), from 1-30 June 2020 (Cardorree)",1485000,01/06/2020,30/06/2020,CARDOREE INC.,1485000,30/05/2020,30/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
2130,Clean Rice for the Victims/Survivors of COVID-19,1484540,13/04/2020,19/04/2020,CHARLYN GRAINS STATION,1484540,13/04/2020,13/04/2020,Local Government Unit of Passi City,1,Not classified,,,
2131,Supply and Delivery of Construction Supplies (Lot no. 1),1643010,25/06/2020,09/08/2020,FMG TRADING AND CONSTRUCTION SUPPLY,1482560,23/06/2020,23/06/2020,BATANES GENERAL HOSPITAL,0.902343869,Not classified,,,
2132,Improvement of Evacuation Facility (COVID-19 Quarantine Facility),1482570.52,01/06/2020,16/07/2020,"Jet Construction, Supplies & Services",1482500,15/05/2020,26/06/2020,Municipality of Hinoba-an,0.999952434,Not classified,,,
2133,Procurement of Canned Relief Goods,1504250,22/04/2020,22/05/2020,AJ General Merchandise,1481700,16/04/2020,30/04/2020,LGU CLAVER,0.985009141,Not classified,,,
2134,payment of medical supply re COVID19,180840,01/06/2020,01/06/2020,RAYOS TRADING & GENERAL MERCHANDISE,1480840,01/06/2020,01/06/2020,"Municipality of Jose Panganiban, Camarines Norte",8.188675072,Not classified,,,
2135,Supply and Delivery of Rice to Municipality of Kawayan,1480325,12/05/2020,22/05/2020,"TUCDAO-ANAS FARMERS IRRIGATORS' ASSOCIATION, INC.",1480325,08/05/2020,08/05/2020,"MLGU-Kawayan, Biliran",1,Not classified,,,
2136,SUPPLY AND DELIVERY OF LABORATORY REAGENTS,1478400,18/05/2020,18/06/2020,MANILA HEALTHTEK INC,1478400,06/05/2020,12/05/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,1,Not classified,,,
2137,SUPPLY AND DELIVERY OF CORONA VIRUS DISEASE 2019 DETECTION KIT,1478400,12/05/2020,12/06/2020,"MANILA HEALTHTEK, INC.",1478400,12/05/2020,12/05/2020,DEPARTMENT OF SCIENCE AND TECHNOLOGY RO9,1,Not classified,,,
2138,Direct Invitation Various Medical Equipment under Bayanihan to Heal as One Act,2156000,24/06/2020,31/12/2020,Drei Enterprises,1476000,24/06/2020,24/06/2020,Talavera General Hospital,0.684601113,Not classified,,,
2139,Purchase of Relief Goods,2030000,23/03/2020,31/03/2020,KCX Supply Wholesaling,1475475,24/03/2020,24/03/2020,"Local Government Unit of San Agustin, Isabela",0.726834975,Not classified,,,
2140,Emergency Procurement for Supply and Delivery of Medical Supplies - Examination Gloves,1750000,23/06/2020,01/07/2020,"PHIL PHARMAWEALTH, INC.",1475000,23/06/2020,23/06/2020,EAST AVENUE MEDICAL CENTER,0.842857143,Not classified,,,
2141,Supply and Delivery of Food Items for the Families affected by the Enhanced Community Quarantine in Occidental Mindoro,1473384,08/04/2020,14/04/2020,KING KENN ENTERPRISES,1472825.9,07/04/2020,23/05/2020,DSWD MIMAROPA REGION,0.999621212,Not classified,,,
2142,Procurement of Corned Beef for Relief Augmentation in Respose to COVID-20,1593760,24/03/2020,30/03/2020,Bodeguita Enterprises,1470812.8,24/03/2020,30/03/2020,Department of Social Welfare and Development - Caraga,0.922857143,Not classified,,,
2143,FURNISHING AND DELIVERY OF FOOD ITEMS AS RELIEF GOODS DISTRIBUTED TO ALL FAMILIES IN THIS MUNICIPALITY,1497600,08/05/2020,15/05/2020,VICKY'S GROCERY,1468396.8,06/05/2020,06/05/2020,LGU CAMALANIUGAN,0.9805,Not classified,,,
2144,Procurement of Goods and other relief items as Food Assistance to Households affected by COVID-19,1466860,05/05/2020,04/06/2020,HIGH M ENTERPRISES,1465600,04/05/2020,15/07/2020,"LGU-Gamay,Northern Samar",0.999141022,Not classified,,,
2145,"Supply and delivery of medicines for covid-19 PUMs, PUIs and frontliners",1465215,21/04/2020,05/05/2020,3E Drug,1465215,20/04/2020,21/04/2020,Provincial Government of Apayao,1,Not classified,,,
2146,SUPPLY OF MEDICAL SUPPLIES,4640600,11/05/2020,21/05/2020,MAGGOT PHARMA TRADING,1463247,28/04/2020,11/05/2020,PLGU- Mountain Province,0.315314184,Not classified,,,
2147,"Purchase of Onion and Garlic (Wave 4) for 40,000.00 Household for Covid 19 Prevention & Mitigation",1552500,27/04/2020,12/05/2020,La Reina Fresh Vegetables & Young Indoor Plants Inc.,1462500,24/04/2020,30/04/2020,"Municipality of Tanay, Rizal",0.942028986,Not classified,,,
2148,Supply and Delivery of Goods for Relief Operation during Covid-19 (750 sacks Rice 50kls),1462500,14/04/2020,20/04/2020,Megastar Printers Enterprises & Service,1462500,14/04/2020,14/04/2020,LGU- Mangaldan,1,Not classified,,,
2149,Powered Air Purifying Respirator (complete set with hood),1625000,29/04/2020,19/06/2020,"Respicare Enterprises, Inc",1462500,28/04/2020,28/04/2020,Bataan General Hospital and Medical Center,0.9,Not classified,,,
2150,Purchase of Canned Goods and Bath/Detergent Soap to be Distributed as Relief Goods to Families affected by ECQ due to COVID-19,1753632,27/04/2020,29/04/2020,77CSV CORPORATION,1461360,27/04/2020,29/04/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.833333333,Not classified,,,
2151,Purchase of Grocery Items and Cellophane Bag to be Distributed to Affected Families due to COVID-19 Pandemic,1753632,27/04/2020,30/04/2020,77CSV Corporation,1461360,27/04/2020,27/07/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.833333333,Not classified,,,
2152,Delivery of thermometers and disinfectants,1495000,03/06/2020,05/06/2020,Goldmedlines Drug Distribution,1460500,01/06/2020,02/06/2020,Municipal Government of Carmona,0.976923077,Not classified,,,
2153,"PURCHASE OF 2,000 PCS MEDICAL GRADED PPE FOR THE USE OF BMC PERSONEL",1460000,13/05/2020,20/05/2020,NML AND E WORLDWIDE FASHION,1460000,13/05/2020,13/05/2020,Provincial Government of Bulacan,1,Not classified,,,
2154,Purchase of Welfare Goods (5th Wave) Covid 19 Prevention and Mitigation,1492150,14/05/2020,20/05/2020,Eastern tanay Supermarket Inc.,1459140,13/05/2020,20/05/2020,"Municipality of Tanay, Rizal",0.977877559,Not classified,,,
2155,"Supply and Delivery of 4,167  Bundles of Bihon Noodles",1458450,30/04/2020,07/05/2020,Centennial Food Corporation,1458450,30/04/2020,06/05/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2156,"Procurement of PPEâ€™s, Disinfectants, COVID-19 Testing Kits, Medicines and Medical Supplies, 1. Procurement Of PPEâ€™s",1460305,05/05/2020,04/06/2020,HIGH M ENTERPRISES,1458000,04/05/2020,18/05/2020,"LGU-Gamay,Northern Samar",0.998421563,Not classified,,,
2157,Procurement of Laboratory Equipment under P.R No. 2584-2020-Butuan Medical Center,1457300,25/06/2020,10/07/2020,McGC Meditel Corporation,1457300,23/06/2020,23/06/2020,City Government of Butuan,1,Not classified,,,
2158,320 Knapsack Sprayer and 9 units Power Sprater,1466000,22/05/2020,22/06/2020,GRJC Agri Industrial Machineries,1457000,12/05/2020,14/05/2020,Department of Agriculture RFO 5,0.993860846,Not classified,,,
2159,"Procurement for the Supply & Delivery of Medical Supplies to be use in the management of all PUM, PUI, and COVID-19 patients",1456150,15/06/2020,15/07/2020,J.M. DIZON PHARMACEUTICALS & GEN. MDSE.,1456150,15/06/2020,15/06/2020,LGU-Olongapo City,1,Not classified,,,
2160,Procurement of Food Assistance & Other Relief Goods for the Affected Households 1,5696600,12/05/2020,19/05/2020,Reign Farm,1456046.06,12/05/2020,19/05/2020,Municipality of RONDA,0.25559914,Not classified,,,
2161,Purchase of Rice for Relief Goods in Response to National Health Emergency due to COVID-19,1456000,20/04/2020,24/04/2020,Yakap at Halik Multi-Purpose Coop. Quezon II,1456000,20/04/2020,21/04/2020,Municipality of Padre Burgos Quezon,1,Not classified,,,
2162,SUPPLY AND DELIVERY OF BIHON,1458500,28/05/2020,04/06/2020,CITY IMPORT COMMERCIAL,1455583,26/05/2020,28/05/2020,City Government of Panabo,0.998,Not classified,,,
2163,Purchase of Welfare Goods (Dressed Chicken),1575931.5,27/04/2020,29/04/2020,AVS Marketing Corporation,1454706,28/04/2020,28/04/2020,"Municipal Government of Calatagan, Batangas",0.923076923,Not classified,,,
2164,Fabrication of COVID-19 Disinfection Chamber System Deployment,1453000,15/04/2020,15/05/2020,Dynamic Global Soft Inc.,1453000,15/04/2020,15/04/2020,"Philippine Council for Industry, Energy and Emerging Technology Research and Development",1,Not classified,,,
2165,Procurement of 100 boxes NS 1 Rapid Dengue Test Kits for use in Dengue Outbreak operations,1529000,31/03/2020,10/04/2020,LSM Pharma & Medical Supply,1453000,30/03/2020,06/04/2020,LGU-Maasin City,0.95029431,Not classified,,,
2166,Purchase and Delivery of Goods (Corned Beef) for Emergency Relief Operations for the PROVINCES of CAR,1452816,08/04/2020,08/04/2020,FOODSPHERE INC.,1452816,06/04/2020,07/04/2020,DSWD-CAR,1,Not classified,,,
2167,"Purchase of 1452  sacks of rice (25kg/sack) to be distributed to the families affected by the ECQ due to COVID19 outbreak at LGU Lingayen, Pangasinan",1452000,12/05/2020,13/05/2020,Mariqueta G. Navarro,1452000,12/05/2020,13/05/2020,Local Government Unit of Lingayen,1,Not classified,,,
2168,Supply and Delivery of Ordinary Rice for Relief Distribution to affected families due to COVID-19 situation,1450400,28/05/2020,01/06/2020,Daniel Arteza,1450400,28/05/2020,28/05/2020,Municipality of Naujan,1,Not classified,,,
2169,Purchase of Various Medical Equipment,1450000,18/06/2020,24/06/2020,IDS MEDICAL SYSTEMS PHILIPPINES,1450000,18/06/2020,24/06/2020,Benguet Provincial Government,1,Not classified,,,
2170,Procurement and Delivery of Portable Ventilator aimed as quick response to COVID-19 pandemic,1450000,25/06/2020,09/07/2020,Alyhar Marketing,1450000,16/06/2020,18/06/2020,Department of Health - Center for Health Development I,1,Not classified,,,
2171,Procurement and Delivery of Ascorbic Acid tablet to be used as response for COVID-19 outbreak,1450000,17/04/2020,01/05/2020,Agua Visions Trading,1450000,16/04/2020,16/04/2020,Department of Health - Center for Health Development I,1,Not classified,,,
2172,Various Medical Supplies/N-2020-05-036(m),1475199.5,28/05/2020,05/06/2020,Infinitrix Medical Equipment and Supplies Trading,1449214,21/05/2020,22/05/2020,Province of Antique,0.982385094,Not classified,,,
2173,Rice,1449000,13/04/2020,15/04/2020,Genruz Const. and Supplies,1449000,13/04/2020,15/04/2020,City Government of Cadiz,1,Not classified,,,
2174,Procurement of Laboratory Equipment,1617000,03/07/2020,03/08/2020,"Esco Philippines, Inc.",1448720,19/06/2020,22/06/2020,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,0.895930736,Not classified,,,
2175,Procurement of Laboratory Equipment,1617000,03/07/2020,03/08/2020,"Esco Philippines, Inc.",1448720,19/06/2020,22/06/2020,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,0.895930736,Not classified,,,
2176,Procurement of Medicines,1447747,03/06/2020,10/06/2020,MELLMARR ENTERPRISES,1447747,08/06/2020,08/06/2020,LGU-San Antonio,1,Not classified,,,
2177,Purchase of Goods for Relief Operation,1445468.13,30/03/2020,06/04/2020,Betina Kate Store,1445468.13,30/03/2020,22/04/2020,Local Government Unit - Baao,1,Not classified,,,
2178,Supply and Delivery of Food Supply Related to COVID-19 Outbreak-GOODS,1442555,28/04/2020,25/06/2020,D2 Prints and Creatives Corp,1442555,28/04/2020,28/04/2020,MUNICIPAL GOVERNMENT OF MARAMAG,1,Not classified,,,
2179,Supply and Delivery of Farm Productivity Assistance Under The PaSSOver:ARBold Move for Deliverance of ARBs from the COVID-19 Pandemic,1440143.99,15/05/2020,29/05/2020,BINHI PRODUCERS COOPERATIVE,1440143.99,11/05/2020,11/05/2020,DAR-NUEVA ECIJA,1,Not classified,,,
2180,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per Bag",1440000,03/04/2020,10/04/2020,Premium Grains Center,1440000,02/04/2020,07/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2181,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per Bag",1440000,06/04/2020,13/04/2020,Premium Grains Center,1440000,06/04/2020,07/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2182,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per Bag",1440000,07/04/2020,14/04/2020,Premium Grains Center,1440000,07/04/2020,07/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2183,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per bag",1440000,13/04/2020,20/04/2020,Premium Grains Center,1440000,14/04/2020,14/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2184,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per bag",1440000,07/04/2020,14/04/2020,Premium Grains Center,1440000,06/04/2020,07/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2185,"Supply and Delivery of 1,600 Bags of Rice @ 25 Kilos per bag",1440000,06/04/2020,13/04/2020,Premium Grains Center,1440000,04/04/2020,07/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
2186,Catering Services for Meals for Frontliners and Skeletal Workforce during ECQ,1439000,16/05/2020,31/05/2020,Red Table Food Services,1439000,15/05/2020,15/05/2020,Subic Bay Metropolitan Authority,1,Not classified,,,
2187,Procurement of Hospital/Medical Equipment,1440000,02/07/2020,17/07/2020,JRA MEDICAL SUPPLIES,1438000,26/06/2020,02/07/2020,Provincial Government of Agusan del Sur,0.998611111,Not classified,,,
2188,PURCHASE OF RICE,1437500,11/05/2020,18/05/2020,NATIONAL FOOD AUTHORITY,1437500,06/05/2020,08/05/2020,Local Government Unit of Bingawan,1,Not classified,,,
2189,700 Sacks of Rice,1435000,01/06/2020,02/06/2020,Mabuhay Warehouse,1435000,01/06/2020,01/06/2020,"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY",1,Not classified,,,
2190,NTD20-001641,1519223.6,04/05/2020,04/05/2020,Procurement Service -Department of Budget & Management,1434110,04/05/2020,04/05/2020,Philippine Reclamation Authority,0.943975594,Not classified,,,
2191,Purchase of essential goods for relief distribution,1492500,27/04/2020,04/05/2020,"Santiago Commercial Center, Inc",1433550,27/04/2020,29/04/2020,Municipal Government of Paracelis,0.960502513,Not classified,,,
2192,"Standby Foods,Relief,Utensils,Medicines & Medical Supplies",1745469,22/04/2020,22/05/2020,EFG MED DISTRIBUTOR,1433519,15/04/2020,16/04/2020,City of Bogo,0.821280126,Not classified,,,
2193,"Supply and Delivery of 413 hds Free Range Chicken Ready-to-breed (Male) and 2,065 hds Free Range Chicken Ready-to-lay (Female)",1445500,13/07/2020,13/08/2020,Albano Stock and Dairy Farms,1433110,09/06/2020,17/06/2020,Department of Agriculture Regional Field Office 10,0.991428571,Not classified,,,
2194,Ligtas Covid-19(Community Quarantine Facility/Municipal Isolation Unit),1434612.38,23/04/2020,28/05/2020,Orient Star Construction  Inc.,1432612.38,22/04/2020,22/04/2020,LGU-Pinamalayan,0.998605895,Not classified,,,
2195,PROCUREMENT OF 2000 BOTTLES ALCOHOL 70% ETHYL AND 11000 SURGICAL MASK,5215600,11/06/2020,23/06/2020,OLTEN INSTRUMENTS PHILS.CORP.,1432000,23/06/2020,23/06/2020,Department of Health Central Visayas Center for Health Development,0.274560933,Not classified,,,
2196,Supply and delivery of consumables,1477440,09/06/2020,23/06/2020,Lifeline Diagnostics Supplies Inc.,1430400,08/06/2020,09/06/2020,Provincial Government of Apayao,0.968161144,Not classified,,,
2197,Supply of Live Chicken and Eggs,1438477.05,28/04/2020,04/05/2020,SINDY'S MINI DRESSING PLANT AND ABBATOIR,1430148,27/04/2020,27/07/2020,"Local Government Unit- San Clemente, Tarlac",0.994209814,Not classified,,,
2198,PURCHASE OF RICE FOR RELIEF GOODS (3RD WAVE-BAYANIHAN GRANT) AMID COVID 19 OF THE MUNICIPALITY OF CATANAUAN,7000000,30/04/2020,30/04/2020,GINALYN P. REGIO STORE,1430000,28/04/2020,28/04/2020,"LOCAL GOVERNMENT UNIT-CATANAUAN, QUEZON",0.204285714,Not classified,,,
2199,3175 heads Free Range Chicken,1587500,15/06/2020,15/07/2020,Dagooc Farm,1428750,22/05/2020,29/05/2020,Department of Agriculture RFO 5,0.9,Not classified,,,
2200,Emergency Procurement of Medical Oxygen Cylinders,1428000,09/06/2020,14/06/2020,"Zomedel Gas Center and Gen. Mdse., Inc.",1428000,29/05/2020,09/06/2020,Bicol Medical Center,1,Not classified,,,
2201,FURNITURE AND FIXTURES FOR MEGADATRC AS QUARANTINE FACILITY,3148500,02/07/2020,09/07/2020,PAMPANGA HOSPITAL PRODUCT,1428000,20/05/2020,25/05/2020,Department of Health Center for Health Development,0.453549309,Not classified,,,
2202,Supply & Delivery of Rice,1440000,21/04/2020,08/05/2020,Sea Pro Agricultural Sales & Services,1428000,20/04/2020,21/04/2020,Municipality of Hinoba-an,0.991666667,Not classified,,,
