,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
187,BRIANNA SURVEY SOLUTIONS,Single Proprietorship,06-Mar-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,20120349807830184145
188,EMRUS MARKETING & ENGINEERING SERVICES,Single Proprietorship,14-Jun-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016061742111229599680
189,RTY CATERING SERVICE,Single Proprietorship,29-Jul-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,2016071794131917364740
190,G-HOVEN I.T. SOLUTIONS,Single Proprietorship,19-Nov-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,2014111202461315314219
191,NORTH FLASH POWER AND BUILDS INC.,Corporation,22-Jun-2020,Platinum,Active,13-Jul-2020,13-Jul-2021,2020062188431464039864
192,8TIMES8 GENERAL MERCHANDISE,Single Proprietorship,03-Apr-2012,Platinum,Active,26-Jun-2020,28-Jun-2021,201204513731002222452
193,JEBMARS CONSTRUCTION AND SUPPLY,Single Proprietorship,23-Feb-2009,Platinum,Active,26-Jun-2020,26-Jun-2021,200902249761326553902
194,AGREE DEVELOPMENT TRADE INC.,Corporation,16-Jan-2008,Platinum,Active,01-Jul-2020,01-Jul-2021,200801182571864753415
195,BONNA MARCY GEN. MERCHANDISE,Single Proprietorship,04-Jun-2016,Platinum,Active,29-Jun-2020,29-Jun-2021,2016061727571072075300
196,VTJ TRADING,Single Proprietorship,18-Jun-2004,Platinum,Active,26-Jun-2020,05-Jul-2021,20040642431238309904
197,PHILIPPINE NUTRI-FOODS CORPORATION,Corporation,09-Apr-2003,Platinum,Active,30-Jun-2020,30-Jun-2021,20030437807957058126
198,"SISON'S PUBLISHING HOUSE, INC.",Corporation,12-Nov-2012,Platinum,Active,29-Jun-2020,29-Jun-2021,20121161731820964339
199,ROSMARINES CATERING SERVICES,Single Proprietorship,08-Dec-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,2017121242221546547653
200,ALPHA CHARLIE TRADING,Single Proprietorship,29-Apr-2015,Platinum,Active,29-Jun-2020,29-Jun-2021,2015041344781210429351
201,G4S CASH SOLUTIONS PHILIPPINES INC.,Corporation,20-Jun-2012,Platinum,Active,02-Jul-2020,29-Jul-2021,201206546031279785166
202,"SUMMA WATER RESOURCES, INC.",Corporation,04-Feb-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,20140292889625911951
203,"VALENCIA GOODWILL COMMERCIAL, INC.",Corporation,03-May-2007,Platinum,Active,10-Jul-2020,10-Jul-2021,2007051359195046902
204,ARNALDO'S HOTEL AND RESTAURANT,Single Proprietorship,20-Jan-2012,Platinum,Active,02-Jul-2020,02-Jul-2021,201201473081784201889
205,RC ESPINOSA BUILDERS AND SUPPLIES,Single Proprietorship,19-Jun-2018,Platinum,Active,26-Jun-2020,27-Jun-2021,20180694283885584510
206,ABAV TRADING,Single Proprietorship,04-Aug-2010,Platinum,Active,01-Jul-2020,01-Jul-2021,2010083500868088212
207,"EURO-MED LABORATORIES PHIL., INC.",Corporation,19-Apr-2002,Platinum,Active,30-Jun-2020,30-Jun-2021,200204132171866761217
208,LABO SHELL STATION,Single Proprietorship,17-Jan-2014,Platinum,Active,30-Jun-2020,16-Jul-2021,20140191299667627010
209,FORTWORTH INC,Corporation,02-Feb-2016,Platinum,Active,02-Jul-2020,02-Jul-2021,2016021605591903335553
210,GOWIL BUILDERS,Single Proprietorship,18-Jun-2007,Platinum,Active,26-Jun-2020,26-Jun-2021,200706144001487594790
211,PERTMA CORPORATION,Corporation,11-Oct-2001,Platinum,Active,26-Jun-2020,26-Jun-2021,2001101351993158090
212,YPC CONSTRUCTION,Single Proprietorship,31-Aug-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,201708142606663585231
213,CALJ SWEETMIX CATERING SERVICES,Single Proprietorship,08-May-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,2018051006811104795826
214,KING'S PLACE CATERING,Single Proprietorship,20-May-2019,Platinum,Active,29-Jun-2020,22-Jul-2021,201905421031891234689
215,MEGA BRICKS BUILDERS & TRADING PHILS. INC.,Corporation,16-Feb-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,201202487211106315267
216,HAMCO STATIONERY CORPORATION,Corporation,04-Dec-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,2014121215691522885529
217,A. R. C. LANTING MANPOWER SERVICES,Single Proprietorship,19-Oct-2016,Platinum,Active,26-Jun-2020,26-Jun-2021,201610189106381995630
218,CHARMMED INCORPORATED,Corporation,08-Jul-2004,Platinum,Active,30-Jun-2020,30-Jun-2021,2004074397641202718
219,REGENAIRE INDUSTRIAL SUPPLIES,Single Proprietorship,10-Jul-2008,Platinum,Active,26-Jun-2020,26-Jun-2021,20080721462219340813
220,ULTRAPRIME DISTRIBUTORS,Single Proprietorship,03-Dec-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,201812645902020036391
221,ESCAN ENG'G & GENERAL SERVICES,Single Proprietorship,21-Mar-2014,Platinum,Active,26-Jun-2020,26-Jun-2021,20140397435589063165
222,ABRENO HIGHLAND TRADE CORPORATION,Corporation,12-Aug-2015,Platinum,Active,29-Jun-2020,31-Jul-2021,201508145002738973654
223,BRIANNA INNOVATIONS & SOLUTIONS CORPORATIONS,Corporation,15-Apr-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201904460571238172232
224,PEGADO ENGINEERING AND CONSTRUCTION,Single Proprietorship,07-May-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,201805100722467689277
225,SUPPLIMED ENTERPRISES,Single Proprietorship,20-May-2013,Platinum,Active,26-Jun-2020,26-Jun-2021,201305720141648632335
226,TAITECH MARINE SALES AND SERVICES CORPORATION,Corporation,20-May-2015,Platinum,Active,26-Jun-2020,26-Jun-2021,201505136318528137175
227,"TOYOTA CEBU CITY, INC - TOYOTA MANDAUE NORTH, CEBU",Corporation,29-Jul-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,201907307211543563778
228,KEASCIA CONSTRUCTION & SUPPLY,Single Proprietorship,11-Dec-2007,Platinum,Active,01-Jul-2020,01-Jul-2021,20071217958747463239
229,RJ CONSTRUCTION AND DESIGNS,Single Proprietorship,28-Feb-2019,Platinum,Active,26-Jun-2020,03-Jul-2021,201902528631910228490
230,PUA DEMESA MANABAT TRADING CORPORATION,Corporation,20-Jul-2017,Platinum,Active,26-Jun-2020,05-Jul-2021,201707150380344749752
231,MMJ TRADING SYSTEM,Single Proprietorship,08-Aug-2012,Platinum,Active,29-Jun-2020,29-Jun-2021,20120857163925891766
232,"ECILA PHARMA, INC.",Corporation,05-Jun-2008,Platinum,Active,26-Jun-2020,05-Jul-2021,20080620869723375237
233,FAMILY AUDIO-VIDEO CENTER,Single Proprietorship,16-Jun-2004,Platinum,Active,26-Jun-2020,28-Jun-2021,20040642122078835462
234,E.RAMOS TRADING,Single Proprietorship,05-Sep-2017,Platinum,Active,02-Jul-2020,26-Jul-2021,2017091423471132684075
235,"SIDEKICK FORCE INVESTIGATION & SECURITY SERVICES, INC",Corporation,13-Dec-2006,Platinum,Active,26-Jun-2020,26-Jun-2021,20061212005376896041
236,G BARON CONSTRUCTION,Single Proprietorship,11-Feb-2015,Platinum,Active,26-Jun-2020,26-Jun-2021,2015021264671689239149
237,S.C.A. JR. BUILDERS,Single Proprietorship,16-Jan-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,201901597681665841220
238,ALROSE PRINTING SERVICES,Single Proprietorship,19-Aug-2008,Platinum,Active,02-Jul-2020,05-Jul-2021,200808220211385571997
239,E. P. B. CONSTRUCTION,Single Proprietorship,04-Jan-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,201901615621426788455
240,MARIA VENUS BUILDER'S SUPPLY,Single Proprietorship,22-Oct-2010,Platinum,Active,02-Jul-2020,01-Aug-2021,201010105642894029143
241,CEPALCO ENERGY SERVICES CORPORATION,Corporation,26-Jul-2006,Platinum,Active,01-Jul-2020,01-Jul-2021,200607109261753730081
242,10-10 GENERAL MERCHANDISE,Single Proprietorship,07-Mar-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201403961191431640174
243,JTC CONSTRUCTION SUPPLY AND SERVICES,Single Proprietorship,28-Nov-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,2019117331608543508
244,HLYC TRADING,Single Proprietorship,19-Apr-2007,Platinum,Active,02-Jul-2020,18-Jul-2021,2007041347753642374
245,PURPLE PAPER PRINTING SOLUTION,Single Proprietorship,20-May-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,201305719861637265804
246,ARROW CONSTRUCTION,Single Proprietorship,13-Nov-2007,Platinum,Active,07-Jul-2020,07-Jul-2021,200711174591043212970
247,GBD PHARMACIA,Single Proprietorship,15-Feb-2010,Platinum,Active,30-Jun-2020,30-Jun-2021,20100232079340916254
248,GARCIANO CONSTRUCTION AND BUILDERS SUPPLY,Single Proprietorship,20-Jun-2014,Platinum,Active,02-Jul-2020,01-Aug-2021,20140610564694607041
249,LUCENO'S AGRI-SUPPLY,Single Proprietorship,15-Jul-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,2014071080961437395325
250,CONTINENTAL SALES INC.,Corporation,11-Dec-2002,Platinum,Active,20-Jul-2020,10-Aug-2021,20021232382313343918
251,MIGUEL ANGEL GEN. MERCHANDIZING,Single Proprietorship,06-Feb-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201402930911624077710
252,MJRE PRINTERY & GENERAL MERCHANDIZE,Single Proprietorship,25-Jun-2004,Platinum,Active,29-Jun-2020,29-Jun-2021,20040642901140267660
253,TONN BUILDERS (PHILS.) CONST. INC.,Corporation,29-May-2007,Platinum,Active,30-Jun-2020,30-Jun-2021,20070513915529340745
254,CCAP GEOTECH AND ENGINEERING SERVICES,Single Proprietorship,04-Dec-2013,Platinum,Active,03-Jul-2020,03-Jul-2021,201312887811465953231
255,MEDIA METER INC.,Corporation,14-Oct-2008,Platinum,Active,29-Jun-2020,29-Jun-2021,200810228851422828409
256,MG LEDESMA ENTERPRISES,Single Proprietorship,24-May-2019,Platinum,Active,26-Jun-2020,26-Jun-2021,20190541323934127441
257,IT AVENUE GENERAL MERCHANDISE,Single Proprietorship,15-May-2013,Platinum,Active,29-Jun-2020,20-Jul-2021,201305717141018115916
258,DREAMBOOKS PUBLICATION,Single Proprietorship,11-May-2011,Platinum,Active,26-Jun-2020,19-Jul-2021,20110540992679639069
259,REDSTONE APPAREL INC.,Corporation,15-Dec-2017,Platinum,Active,30-Jun-2020,30-Jun-2021,201712123278623267316
260,T. N. RAMOS CONSTRUCTION AND DEVELOPMENT CORPORATION,Corporation,27-Aug-2008,Platinum,Active,02-Jul-2020,09-Aug-2021,20080822131905115904
261,VIVA ROSE ENTERPRISES,Single Proprietorship,14-Jul-2009,Platinum,Active,30-Jun-2020,05-Aug-2021,200907276431097833931
262,MLG GREENHOUSE PHARMACEUTICAL TRADING,Single Proprietorship,06-Jul-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,2016071763211604438238
263,KARVIN TRADING,Single Proprietorship,05-Aug-2018,Platinum,Active,30-Jun-2020,20-Aug-2021,20180885691509897298
264,MI TIENDA TRADING,Single Proprietorship,07-Mar-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,2018031108531087754036
265,GOCOM SYSTEMS AND SOLUTIONS CORPORATION,Corporation,12-May-2015,Platinum,Active,01-Jul-2020,01-Jul-2021,2015051354791000791540
266,SOSEP BUILDERS,Single Proprietorship,24-Apr-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,20170416604722045976
267,MISSING PIECE COMMERCIAL,Single Proprietorship,21-Feb-2005,Platinum,Active,29-Jun-2020,29-Jun-2021,2005026585983632139
268,AL-FATIHAH TRADING,Single Proprietorship,24-Sep-2012,Platinum,Active,29-Jun-2020,29-Jun-2021,20120959387631266801
269,MDH CONSTRUCTION,Single Proprietorship,03-May-2017,Platinum,Active,03-Jul-2020,26-Jul-2021,2017051646361010473872
270,"BENNETTEL RF TECHNOLOGIES AND DATA INFRASTRUCTURE INC.,",Corporation,30-May-2017,Platinum,Active,10-Jul-2020,26-Jul-2021,2017051601471195986899
271,808 CONSTRUCTION & SUPPLY,Single Proprietorship,25-Feb-2005,Platinum,Active,29-Jun-2020,18-Jul-2021,2005026655287179945
272,FORMOSO DRUG,Single Proprietorship,22-Nov-2007,Platinum,Active,17-Jul-2020,17-Jul-2021,200711176581673496876
273,JOHN-ONNIE'S TRADING,Single Proprietorship,28-Feb-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,2018021122111950257832
274,ALCERO TRADING,Single Proprietorship,21-Apr-2010,Platinum,Active,29-Jun-2020,29-Jun-2021,201004333331846823720
275,F AND S FURNITURE AND GENERAL MERCHANDISE,Single Proprietorship,08-Sep-2011,Platinum,Active,29-Jun-2020,29-Jun-2021,20110943833596136860
276,CAPRI-BLUE GENERAL MERCHANDISE AND TRADING,Single Proprietorship,06-Sep-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,201809796321992420481
277,Z.C. LM ENTERPRISES,Single Proprietorship,15-Jul-2003,Platinum,Active,29-Jun-2020,29-Jun-2021,20030717401142849295
278,E.G. CANABE CONSTRUCTION,Single Proprietorship,17-Sep-2008,Platinum,Active,01-Jul-2020,01-Jul-2021,200809224661189381886
279,CIRCUIT CITY MARKETING COMPANY,Partnership,25-Jan-2010,Platinum,Active,29-Jun-2020,29-Jun-2021,20100131520115000250
280,N.V. BALBUENA CONSTRUCTION,Single Proprietorship,12-Aug-2005,Platinum,Active,29-Jun-2020,29-Jun-2021,2005088020726461760
281,G-WELL GENERAL MERCHANDISE,Single Proprietorship,31-Mar-2008,Platinum,Active,01-Jul-2020,01-Jul-2021,200803197131880877957
282,DRYWS ENTERPRISE,Single Proprietorship,14-Mar-2011,Platinum,Active,30-Jun-2020,24-Jul-2021,201103394212139150421
283,BEE ELECTRONICS INC,Corporation,22-May-2001,Platinum,Active,29-Jun-2020,21-Jul-2021,20010547936924433
284,CRIZEL CONSTRUCTION AND CONCRETE PRODUCTS,Single Proprietorship,29-Aug-2007,Platinum,Active,29-Jun-2020,29-Jun-2021,200708161431309063926
285,V&P ENGINEERING (CHINA) LTD,Foreign Company Organization,28-Feb-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,20190252787780507042
286,EC II CONSTRUCTION,Single Proprietorship,17-Jun-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,20190638245477853499
287,D.S. PAMINTUAN CONSTRUCTION,Single Proprietorship,27-Aug-2008,Platinum,Active,29-Jun-2020,29-Jun-2021,200808221231300000941
288,STRIDES PEF ENTERPRISES,Single Proprietorship,20-Jul-2007,Platinum,Active,30-Jun-2020,30-Jun-2021,200707152531787892067
289,CBAP ENGINEERING SERVICES AND CONSTRUCTION SUPPLY,Single Proprietorship,06-Aug-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,20190829193394104544
290,"FUTURENOW BUSINESS SERVICES, INC.",Corporation,28-Dec-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,2017121223571838165209
291,AGWAY CHEMICALS CORPORATION,Corporation,14-Feb-2012,Platinum,Active,06-Jul-2020,19-Jul-2021,2012021182661783700673
292,NETLINE COMMUNICATIONS TECHNOLOGIES (NCT) LTD.,Foreign Company Organization,30-Jul-2018,Platinum,Active,30-Jun-2020,30-Jun-2021,201807868761676078884
293,R.M. ADALIM CONSTRUCTION,Single Proprietorship,23-Mar-2007,Platinum,Active,29-Jun-2020,29-Jun-2021,20070313259512579848
294,"FILIPINO PEST CONTROL, INC.",Corporation,04-May-2015,Platinum,Active,10-Jul-2020,06-Aug-2021,201505134651923837422
295,ARVIN INTERNATIONAL MARKETING INC.,Corporation,27-Mar-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,20070313324613904123
296,POLYFOAM - RGC INTERNATIONAL CORPORATION,Corporation,21-Apr-2005,Platinum,Active,10-Jul-2020,10-Jul-2021,20050471631408258190
297,LRD CONSTRUCTION AND SUPPLY,Single Proprietorship,26-Feb-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,2017021769201953768441
298,"PACIFICPHIL DISTRIBUTION GROUP, INC.",Corporation,11-May-2020,Platinum,Active,29-Jun-2020,29-Jun-2021,202005216237609604770
299,ORIGOLD TRADING,Single Proprietorship,06-Nov-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,201611191588539992411
300,I-LED ORBITS CORPORATION,Corporation,11-Nov-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,2015111539681203677132
301,MJM BUILDERS AND ENTERPRISES,Single Proprietorship,02-Dec-2014,Platinum,Active,30-Jun-2020,03-Jul-2021,201412121393535363424
302,ECOPETROL GASOLINE STATION,Single Proprietorship,18-Nov-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,201611193068333441775
303,E.R. VENZON CONSTRUCTION,Single Proprietorship,05-Nov-2002,Platinum,Active,30-Jun-2020,30-Jun-2021,2002111204590142502
304,AEQUUS ENTERPRISE,Single Proprietorship,09-Jul-2013,Platinum,Active,30-Jun-2020,30-Jun-2021,20130775950309507347
305,ADVANCE MICROSYSTEMS CORPORATION,Corporation,04-May-2001,Platinum,Active,30-Jun-2020,30-Jun-2021,2001052764904813
306,GELROCK BUILDERS,Single Proprietorship,19-Jan-2018,Platinum,Active,10-Jul-2020,10-Jul-2021,2018011190931807823362
307,A.C. RIVERO DEVELOPMENT CORPORATION,Corporation,28-May-2007,Platinum,Active,30-Jun-2020,30-Jun-2021,200705138951517701898
308,ALREN'S GEN. MERCHANDISE,Single Proprietorship,20-Apr-2017,Platinum,Active,30-Jun-2020,24-Aug-2021,2017041667651089876249
309,GMPA CONSTRUCTION SERVICES,Single Proprietorship,25-Mar-2020,Platinum,Active,30-Jun-2020,30-Jun-2021,2020032150641609713541
310,CEMETRIC CONSTRUCTION,Single Proprietorship,23-Apr-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,201904453501861037083
311,CASH PROCESSING SOLUTIONS LTD,Foreign Company Organization,07-May-2018,Platinum,Active,30-Jun-2020,01-Jul-2021,201805100920967305616
312,JENBER-TBM BUILDERS ENTERPRISES,Single Proprietorship,29-Oct-2013,Platinum,Active,26-Jun-2020,26-Jun-2021,201310859372025585855
313,ARCZONE PROFESSIONAL DEVELOPMENT INC.,Corporation,28-Jan-2010,Platinum,Active,30-Jun-2020,30-Jun-2021,201001316241554817214
314,"COLUMBIA COMPUTER CENTER, INC. - BUTUAN",Corporation,14-Nov-2007,Platinum,Active,30-Jun-2020,06-Jul-2021,200711174901076769876
315,RLT DRUG,Single Proprietorship,27-Oct-2004,Platinum,Active,30-Jun-2020,03-Jul-2021,2004105533506793627
316,FL2 LUMBER AND CONSTRUCTION SUPPLY,Single Proprietorship,11-Feb-2009,Platinum,Active,30-Jun-2020,30-Jun-2021,20090224700313615153
317,HERACLEOS FOOD TAKE OUT,Single Proprietorship,17-Jul-2012,Platinum,Active,03-Jul-2020,03-Jul-2021,20120756094678664371
318,KEPZ ELECTRONICS SUPPLIES AND SERVICES,Single Proprietorship,08-Jul-2013,Platinum,Active,26-Jun-2020,15-Jul-2021,20130775475144706067
319,HEATHER PLUS HOME FURNISHING ENTERPRISES,Single Proprietorship,04-Jan-2011,Platinum,Active,02-Jul-2020,02-Jul-2021,201101374581774101715
320,A.Z. CORONEL BUILDERS,Single Proprietorship,04-Jun-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,20190639757193132268
321,ISOBEL CONCRETE CONSTRUCTOR CORPORATION,Corporation,18-Oct-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,2017101331651166352608
322,DRACO WOLVERINE AGRICULTURAL CORPORATION,Corporation,19-Jan-2017,Platinum,Active,30-Jun-2020,30-Jun-2021,201701185079510448169
323,RED STONE CONSTRUCTION AND SUPPLY,Single Proprietorship,29-Mar-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,201703170405323277388
324,S.B.F.Z. GATEWAY CORPORATION,Corporation,02-Mar-2020,Platinum,Active,30-Jun-2020,30-Jun-2021,202003213182577196548
325,RESCUEMED TECHNOLOGIES ENTERPRISES,Single Proprietorship,30-Sep-2014,Platinum,Active,30-Jun-2020,09-Jul-2021,20140911550227151511
326,NUPRINT MASTER,Single Proprietorship,02-Mar-2005,Platinum,Active,30-Jun-2020,12-Jul-2021,2005036725262766696
327,BONIMAR CONSTRUCTION ENTERPRISES,Single Proprietorship,21-Jan-2005,Platinum,Active,30-Jun-2020,22-Jul-2021,20050161271526898678
328,JCC LUMBER AND HARDWARE,Single Proprietorship,27-Jul-2011,Platinum,Active,14-Jul-2020,14-Jul-2021,2011074279235175518
329,ALDRED'S EVENT CATERING SERVICES,Single Proprietorship,13-Aug-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,2019082802528847677
330,KRIZLANZ PHARMACY AND TRADING,Single Proprietorship,13-Apr-2016,Platinum,Active,01-Jul-2020,11-Jul-2021,201604168550221056887
331,"SUNNY GLADES PROPERTIES CORP. DOING BUSINESS UNDER THE NAMEAND STYLE OF 1. TAGAYTAY HAVEN HOTEL I 2. TAGAYTAY HAVENHOTEL II 3. PATEROS HAVEN HOTEL, DEMETER ESCAPADE, ANDSALACIA BEACHFRONT",Corporation,10-Oct-2007,Platinum,Active,02-Jul-2020,15-Jul-2021,200710142037357045632
332,V. TRILLANA BUILDERS & TRADING,Single Proprietorship,15-Jun-2010,Platinum,Active,03-Jul-2020,03-Jul-2021,2010063407722893875
333,EDFROBON CONSTRUCTION SERVICES INCORPORATED,Corporation,15-Mar-2012,Platinum,Active,02-Jul-2020,02-Jul-2021,20120350328854686863
334,FRV DISTRIBUTION AND GENERAL MERCHANDISE,Single Proprietorship,28-May-2010,Platinum,Active,01-Jul-2020,13-Jul-2021,20100533828614136323
335,NIFTY HERO MULTIMEDIA SERVICES,Single Proprietorship,26-Sep-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,2017091372521098891216
336,RJ MED MARKETING,Single Proprietorship,12-Apr-2016,Platinum,Active,14-Jul-2020,29-Jul-2021,2016041682571405166084
337,SADLAN CONSTRUCTION,Single Proprietorship,25-Mar-2009,Platinum,Active,03-Aug-2020,03-Aug-2021,20090325714263252575
338,DREAMBOLT BUILDERS CORPORATION,Corporation,26-Jan-2017,Platinum,Active,30-Jun-2020,11-Jul-2021,2017011839751339584356
339,ZERACSE ENTERPRISE CORPORATION,Corporation,19-Oct-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,201610189172147672170
340,R. CARAM MULTIMEDIA CORP.,Corporation,29-Jul-2013,Platinum,Active,30-Jun-2020,30-Jun-2021,201307779281087097991
341,IFS TRADING,Single Proprietorship,11-Mar-2004,Platinum,Active,30-Jun-2020,30-Jun-2021,2004033400537080120
342,THE BAYLEAF INTRAMUROS,Corporation,24-Nov-2011,Platinum,Active,27-Jul-2020,27-Jul-2021,20111145685888891881
343,"AXENT, INC.",Corporation,11-Jun-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,2012061325831297659290
344,TRI - HEALTH TRADING,Single Proprietorship,23-Aug-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,201208578561408099524
345,"A.T. BARRAMEDA CONSTRUCTION, INC.",Corporation,04-Nov-2018,Platinum,Active,01-Jul-2020,01-Jul-2021,20181170075679058129
346,CERVEO COMPUTER SYSTEMS,Single Proprietorship,16-May-2008,Platinum,Active,30-Jun-2020,30-Jun-2021,20080520540954545573
347,GCMED PHARMACEUTICAL DISTRIBUTOR,Single Proprietorship,24-Feb-2016,Platinum,Active,02-Jul-2020,30-Jul-2021,2016021630731671153207
348,AMORICH CONSTRUCTION SERVICES & SUPPLY,Single Proprietorship,27-Feb-2019,Platinum,Active,01-Jul-2020,05-Jul-2021,20190253127342580301
349,G.U. ENGINEERING SOLUTIONS INC.,Corporation,27-Jan-2009,Platinum,Active,30-Jun-2020,30-Jun-2021,20090124334142522329
350,PETT BUILDERS,Single Proprietorship,11-Mar-2004,Platinum,Active,02-Jul-2020,02-Jul-2021,2004033416524148714
351,"INT'L. PECAN DISTY, INC.",Corporation,20-Jun-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,2014061056521699697228
352,GCM PHARMACEUTICAL DEALER,Single Proprietorship,08-Mar-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201203499382056896188
353,"TERRINIEL SCALES, INC.",Corporation,05-Aug-2011,Platinum,Active,30-Jun-2020,30-Jun-2021,201108430591387918903
354,"GETZ BROS. PHILS., INC.",Corporation,21-Sep-2005,Platinum,Active,10-Jul-2020,14-Aug-2021,20050983541576113254
355,ZEOLITE DIAGNOSTIC SUPPLIES,Single Proprietorship,28-Feb-2014,Platinum,Active,01-Jul-2020,05-Jul-2021,201402952811959958556
356,JUNIOR V. HARDWARE,Single Proprietorship,03-Dec-2012,Platinum,Active,30-Jun-2020,05-Jul-2021,201212627822128313268
357,MEO & CORA'S EATERY,Single Proprietorship,26-Jan-2016,Platinum,Active,01-Jul-2020,01-Jul-2021,201601159882425061839
358,"GLO-CAL ADVANCED SYSTEMS, INC.",Corporation,28-Oct-2009,Platinum,Active,02-Jul-2020,02-Jul-2021,200910292761161012105
359,RADYO BANDERA PHILIPPINES INC.,Corporation,04-Mar-2015,Platinum,Active,27-Jul-2020,27-Jul-2021,20150312858832209290
360,MERES HARDWARE & CONSTRUCTION SUPPLY,Single Proprietorship,30-May-2018,Platinum,Active,30-Jun-2020,06-Jul-2021,20180596942431313575
361,7 GREEN LEAVES RESOURCES CORP.,Corporation,09-Jun-2014,Platinum,Active,30-Jun-2020,30-Jun-2021,2014061045331282975877
362,MIGHTY CONSTRUCTION AND ENTERPRISES,Single Proprietorship,04-Jan-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,20190161462268292545
363,J&M PHARMASHOPPE,Single Proprietorship,16-Nov-2006,Platinum,Active,14-Jul-2020,14-Jul-2021,200611117162136953090
364,"BIG DADDY HOTEL, INC.",Corporation,24-Mar-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,2015031310851084860308
365,E &AMP; L TECH &AMP; GENERAL MERCHANDISE,Single Proprietorship,16-Aug-2017,Platinum,Active,30-Jun-2020,30-Jun-2021,2017081450701119685560
366,TACLOBAN SHELL SERVICE STATION,Single Proprietorship,19-Mar-2013,Platinum,Active,02-Jul-2020,02-Jul-2021,20130368575267751444
367,ILFREO CONSTRUCTION & TRADING,Single Proprietorship,16-Mar-2004,Platinum,Active,01-Jul-2020,01-Jul-2021,20040334451702673799
368,JAYBEBS RENT A CAR,Single Proprietorship,26-Aug-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,201508146399510234544
369,MAASIN SHELL STATION,Single Proprietorship,16-Sep-2013,Platinum,Active,02-Jul-2020,02-Jul-2021,20130982234831114278
370,ASSET BUILDERS CORPORATION,Corporation,07-Mar-2007,Platinum,Active,01-Jul-2020,01-Jul-2021,20070313055614787496
371,AL-JEDDA CONSTRUCTION SERVICES,Single Proprietorship,04-Oct-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,20191017555533640030
372,VSM STORE,Single Proprietorship,09-Jun-2020,Platinum,Active,30-Jun-2020,30-Jun-2021,2020062180121024018191
373,JLWEE TRADING,Single Proprietorship,19-Jul-2018,Platinum,Active,30-Jun-2020,30-Jun-2021,201807887331397620657
374,"LUCKY EDUCATIONAL SUPPLY, INC.",Corporation,16-Feb-2004,Platinum,Active,30-Jun-2020,30-Jun-2021,20040228511334677358
375,JOJIE'S PHARMACY AND GENERAL MERCHANDISE,Single Proprietorship,21-Apr-2015,Platinum,Active,10-Jul-2020,04-Aug-2021,201504133630520619966
