,Unnamed: 0,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
389,389,7 IN 1 BLOW PEST CONTROL SERVICES,Single Proprietorship,15-Oct-2007,Platinum,Active,23-Jul-2020,13-Aug-2021,20071017030506619592
390,390,GEMMS ENTERPRISES,Single Proprietorship,20-Sep-2013,Platinum,Active,27-Jul-2020,27-Jul-2021,2013098272937494695
391,391,CASTILLANES CONSTRUCTION AND SUPPLY,Single Proprietorship,06-Oct-2016,Platinum,Active,22-Jul-2020,20-Aug-2021,2016101879081709748317
392,392,FLAVIE SUBIC MOTOR TRADING CORP.,Corporation,02-Aug-2016,Platinum,Active,29-Jul-2020,29-Jul-2021,201608179734683647226
393,393,E.G. FERNANDEZ CONSTRUCTION AND SUPPLY,Single Proprietorship,18-Jan-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,201901593901743998685
394,394,R.S. JARDIN & ASSOCIATES,Single Proprietorship,23-Jun-2004,Platinum,Active,24-Jul-2020,17-Sep-2021,2004064264320121320
395,395,TSALEACH TRADING,Single Proprietorship,21-Jan-2008,Platinum,Active,23-Jul-2020,14-Aug-2021,20080118316108311677
396,396,LUNARCHEM TRADING,Single Proprietorship,15-Apr-2015,Platinum,Active,23-Jul-2020,23-Jul-2021,201504133015258256671
397,397,MIE ORO PLAST CORPORATION,Corporation,21-Jan-2014,Platinum,Active,22-Jul-2020,22-Jul-2021,201401915291816674942
398,398,TIAONG FARMERS' MULTI-PURPOSE COOPERATIVE,Cooperative,06-Nov-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201211614171257429213
399,399,MEGASHIP BUILDERS INC.,Corporation,22-Jul-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,201907315211686877178
400,400,BUNAG-CARLOS BUILDERS,Single Proprietorship,23-Aug-2011,Platinum,Active,23-Jul-2020,31-Jul-2021,20110843449914517122
401,401,ISECURE BUILDER AND CONSTRUCTION SUPPLIES,Single Proprietorship,28-May-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,20190540875731314841
402,402,HIGH DEFINITION (HD) BUILDERS AND CONSTRUCTION,Single Proprietorship,13-Jan-2009,Platinum,Active,23-Jul-2020,19-Aug-2021,20090124076837986972
403,403,MEGABULLSEYE CORPORATION,Corporation,09-Oct-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,2015101508581090180240
404,404,"GLOWING DRUGSTORE, MEDICAL AND LABORATORY SUPPLIES",Single Proprietorship,06-Jun-2016,Platinum,Active,03-Aug-2020,03-Aug-2021,201606173002565823396
405,405,VYRAGUS CONSTRUCTION,Single Proprietorship,06-Jul-2010,Platinum,Active,23-Jul-2020,24-Jul-2021,201007344501948039154
406,406,BIDWELL ENTERPRISES,Single Proprietorship,11-Jun-2018,Platinum,Active,13-Aug-2020,13-Aug-2021,20180695012379183186
407,407,888 ACY ENTERPRISES,Single Proprietorship,10-Oct-2006,Platinum,Active,24-Jul-2020,19-Aug-2021,20061011366568101989
408,408,LAWRENCE ERIC CONSTRUCTION & ENGINEERING SERVICES,Single Proprietorship,23-Jan-2004,Platinum,Active,24-Jul-2020,24-Jul-2021,20040124161738742063
409,409,RICHMEDIA NETWORK INC.,Corporation,30-Nov-2010,Platinum,Active,27-Jul-2020,28-Aug-2021,201011370831594888879
410,410,SUNOIL DEVELOPMENT INC.,Corporation,24-May-2013,Platinum,Active,23-Jul-2020,23-Jul-2021,20130572493953904013
411,411,COMWORKS INC,Corporation,23-Dec-2005,Platinum,Active,29-Jul-2020,29-Jul-2021,20051290451953725930
412,412,MONSANTO RESTAURANT HAPITANAN SA AMAS,Single Proprietorship,29-Aug-2013,Platinum,Active,29-Jul-2020,29-Jul-2021,201308802941054555059
413,413,"FLUID TECHNOLOGIES & ENVIRONMENTAL MGT., INC.",Corporation,20-Oct-2008,Platinum,Active,04-Aug-2020,04-Aug-2021,200810229391482608404
414,414,DUMAGUETE UPHOLSTERY & TEXTILE CENTER,Single Proprietorship,10-Oct-2007,Platinum,Active,23-Jul-2020,23-Jul-2021,200710169611680336944
415,415,DMC ROOFING SUPPLY & SERVICES,Single Proprietorship,10-Mar-2011,Platinum,Active,24-Jul-2020,05-Sep-2021,201103393731605395419
416,416,CENTIGRADE REFRIGERATION & HOME APPLIANCES SERVICE CENTER,Single Proprietorship,22-Jul-2014,Platinum,Active,23-Jul-2020,23-Jul-2021,20140710862933442060
417,417,MAROONSTUDIOS INC.,Corporation,07-Jun-2016,Platinum,Active,30-Jul-2020,30-Jul-2021,2016061731911506919868
418,418,FIVE TEN ENTERPRISE,Single Proprietorship,01-Feb-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,2016021604532065431928
419,419,MTEL TRADING AND MANPOWER SERVICES,Single Proprietorship,30-Aug-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,201608183162328755612
420,420,RASS DIGITAL &AMP; ELECTRONICS AND ALLIED SERVICES,Single Proprietorship,30-Mar-2017,Platinum,Active,24-Jul-2020,24-Jul-2021,201703169848897029198
421,421,8TERNITY INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF MYLAB MEDICAL TRADERS; MY LOVE ACCESSORIES & JEWELRY;EIGHTY8 AGRI VENTURES,Corporation,10-Apr-2014,Platinum,Active,23-Jul-2020,23-Jul-2021,20140499356790359824
422,422,ERLENES TRADING,Single Proprietorship,07-Nov-2006,Platinum,Active,29-Jul-2020,29-Jul-2021,200611116291353977877
423,423,HOTEL FINA,Single Proprietorship,08-Sep-2014,Platinum,Active,23-Jul-2020,23-Jul-2021,2014091134051970184923
424,424,ABBAZ CONSTRUCTION AND SUPPLY,Single Proprietorship,01-Apr-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201904479541022780790
425,425,JGBT MEDICAL SUPPLIES TRADING,Single Proprietorship,09-Jul-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,20200722051557268943
426,426,WANGTSENG EXPORT ENTERPRISES,Single Proprietorship,30-Oct-2016,Platinum,Active,23-Jul-2020,23-Jul-2021,2016101908551721084111
427,427,JNBER CONSTRUCTION SERVICES,Single Proprietorship,12-Dec-2016,Platinum,Active,12-Aug-2020,12-Aug-2021,201612190111703769594
428,428,MUNDO ENGINEERING WORKS,Single Proprietorship,11-Aug-2018,Platinum,Active,27-Jul-2020,27-Jul-2021,201808841581157038115
429,429,JGBT CONSTRUCTION SUPPLY,Single Proprietorship,09-Jul-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,202007220431248840278
430,430,SHELLSOFT TECHNOLOGY CORPORATION,Corporation,27-Sep-2004,Platinum,Active,23-Jul-2020,13-Aug-2021,2004095252672727263
431,431,DE LUNA CATERING SERVICES,Single Proprietorship,20-Nov-2014,Platinum,Active,23-Jul-2020,23-Jul-2021,201411120305486663279
432,432,SCEPTER ENTERPRISES,Single Proprietorship,17-Apr-2008,Platinum,Active,24-Jul-2020,26-Jul-2021,200804200232092959505
433,433,STARR EDUCATIONAL SUPPLY AND GENERAL MERCHANDISE,Single Proprietorship,02-Mar-2010,Platinum,Active,23-Jul-2020,05-Aug-2021,201003324491412266435
434,434,"GREENGOLD SECURITY AGENCY, INC.",Corporation,13-May-2011,Platinum,Active,24-Jul-2020,30-Jul-2021,201105410561178645380
435,435,TERANOVA COMPUTER SALES AND SERVICES,Single Proprietorship,02-Jun-2011,Platinum,Active,23-Jul-2020,18-Aug-2021,201106414911390622812
436,436,V.F. LABAO CONSTRUCTION CORPORATION,Corporation,21-Jan-2004,Platinum,Active,24-Jul-2020,24-Jul-2021,20040123561916606320
437,437,NCD AUTO SUPPLY AND SERVICES,Single Proprietorship,13-Aug-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201908280611655780613
438,438,RCORDS INDUSTRIAL SUPPLIES AND SERVICES,Single Proprietorship,04-Apr-2016,Platinum,Active,23-Jul-2020,17-Sep-2021,2016041675581818762904
439,439,KFM GENERAL MERCHANDISE,Single Proprietorship,12-Jul-2013,Platinum,Active,23-Jul-2020,23-Jul-2021,201307762711140902496
440,440,ROHDE & SCHWARZ (PHILIPPINES) INC.,Corporation,30-Oct-2003,Platinum,Active,28-Jul-2020,15-Sep-2021,200310185551700946043
441,441,JCRS TRADING,Single Proprietorship,17-Sep-2014,Platinum,Active,27-Jul-2020,27-Jul-2021,2014091141511153353991
442,442,DAVAO CONCRETE POLES CORPORATION,Corporation,01-Jun-2016,Platinum,Active,23-Jul-2020,08-Aug-2021,201606172519283255204
443,443,TEH HSIN ENTERPRISE PHILS. CORPORATION,Corporation,26-May-2006,Platinum,Active,24-Jul-2020,06-Aug-2021,200605102401776885173
444,444,TOYOTA CAGAYAN DE ORO INCORPORATED,Corporation,05-May-2017,Platinum,Active,30-Jul-2020,24-Aug-2021,201705164053734088814
445,445,GCK PHARMACEUTICAL PRODUCTS TRADING,Single Proprietorship,10-Dec-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,2019125763519454349
446,446,ADREAS MEDICAL SUPPLIES TRADING,Single Proprietorship,22-Jun-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,2020062188501198052773
447,447,JEZUVIA TRANSPORT,Single Proprietorship,17-Jan-2020,Platinum,Active,30-Jul-2020,30-Jul-2021,2020012070626441740
448,448,BHIPOLITO OFFICE SUPPLIES,Single Proprietorship,09-Jan-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201901607241410763781
449,449,BHIPOLITO CONSTRUCTION TRADING,Single Proprietorship,09-Jan-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201901607361001059556
450,450,NAHASON&LEAH GENERATOR SPARE PARTS TRADING,Single Proprietorship,30-Jul-2019,Platinum,Active,23-Jul-2020,08-Aug-2021,201907306411606225315
451,451,YCO CONSTRUCTION,Single Proprietorship,24-Mar-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,201903490061607505461
452,452,"MANILA POWER TECHNOLOGIES, INC.",Corporation,26-Nov-2007,Platinum,Active,23-Jul-2020,20-Aug-2021,20071117713427098184
453,453,8-88 COMMERCIAL AND GENERAL MERCHANDISE,Single Proprietorship,22-Jul-2011,Platinum,Active,24-Jul-2020,24-Jul-2021,20110742670609779687
454,454,CRISHELLE CONSTRUCTION,Single Proprietorship,27-Feb-2004,Platinum,Active,23-Jul-2020,28-Jul-2021,20040231681789640609
455,455,MACRORAIN TRADING,Single Proprietorship,08-Jul-2013,Platinum,Active,23-Jul-2020,28-Jul-2021,201307758361166481465
456,456,HDG CONSTRUCTION AND ENTERPRISES,Single Proprietorship,13-Jun-2012,Platinum,Active,23-Jul-2020,07-Aug-2021,2012065431483989904
457,457,VANKET ENGINEERING AND CONSTRUCTION,Single Proprietorship,25-Jul-2014,Platinum,Active,24-Jul-2020,24-Jul-2021,2014071091181719433838
458,458,PDMC DIAGNOSTICS LABORATORY INC.,Corporation,11-May-2020,Platinum,Active,05-Aug-2020,05-Aug-2021,2020052162531414555163
459,459,AICON BUILDERS AND SUPPLY,Single Proprietorship,12-Dec-2018,Platinum,Active,27-Jul-2020,27-Jul-2021,2018126297418808202
460,460,VALENCIA BUSINESS PIONEERS INC.,Corporation,18-Mar-2020,Platinum,Active,27-Jul-2020,27-Jul-2021,2020032148731458086034
461,461,INFOCOM SOLUTIONS POWERLINKS CO.,Partnership,16-Feb-2009,Platinum,Active,24-Jul-2020,24-Jul-2021,2009022479434672135
462,462,YASSIN HARDWARE,Single Proprietorship,16-Jan-2012,Platinum,Active,28-Jul-2020,28-Jul-2021,20120146940966357964
463,463,STRONGBIZ MARKETING CORPORATION,Corporation,24-Sep-2015,Platinum,Active,03-Aug-2020,03-Aug-2021,2015091494021865947309
464,464,D' LIMITLESS VEHICLE VENTURES CORPORATION,Corporation,27-Jan-2009,Platinum,Active,24-Jul-2020,24-Jul-2021,20090124308251773368
465,465,RSO CONSTRUCTION,Single Proprietorship,24-Apr-2014,Platinum,Active,24-Jul-2020,16-Aug-2021,2014041004191005464321
466,466,LMV MEDICAL SUPPLIES,Single Proprietorship,24-Nov-2014,Platinum,Active,12-Aug-2020,12-Aug-2021,2014111207682045417774
467,467,ASAHI RESOURCES CORPORATION,Corporation,14-Jul-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201507141831823709115
468,468,N.C. RIVERA BUILDERS,Single Proprietorship,18-Jun-2018,Platinum,Active,29-Jul-2020,18-Sep-2021,20180694592843145330
469,469,CASTLE ROO CAR SERVICES,Single Proprietorship,02-May-2008,Platinum,Active,23-Jul-2020,23-Jul-2021,200805202781547870534
470,470,E.P. CORNEJO CONSTRUCTION,Single Proprietorship,27-Feb-2006,Platinum,Active,10-Aug-2020,27-Aug-2021,20060295591591588119
471,471,M7J CONSTRUCTION SUPPLY,Single Proprietorship,21-Jun-2018,Platinum,Active,30-Jul-2020,30-Jul-2021,201806937642115842132
472,472,BUMI CONSTRUCTION DEV'T. & SUPPLIES,Single Proprietorship,06-Jul-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201507140840637637793
473,473,JONEMY TRADING,Single Proprietorship,02-May-2013,Platinum,Active,24-Jul-2020,24-Jul-2021,20130571068943365942
474,474,CEMEMP CONSTRUCTION,Single Proprietorship,17-Jul-2020,Platinum,Active,22-Jul-2020,22-Jul-2021,202007221278335513145
475,475,R.V. DOLAR ENGINEERING SERVICES,Single Proprietorship,29-Jun-2007,Platinum,Active,23-Jul-2020,23-Jul-2021,200706147742107974739
476,476,THE OFFPRICE STORES SUBIC CORP.,Corporation,25-Jun-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,202006219194863604111
477,477,"DRAGONHART CONSTRUCTION ENTERPRISE, INC.",Corporation,14-Sep-2009,Platinum,Active,28-Jul-2020,28-Jul-2021,20090928584459454819
478,478,MARES PHILIPPINES INC.,Corporation,14-Sep-2016,Platinum,Active,24-Jul-2020,24-Jul-2021,201609184968833835668
479,479,J-1 BUILDERS CORPORATION,Corporation,19-Jun-2019,Platinum,Active,23-Jul-2020,25-Jul-2021,20190637502776483221
480,480,"SEAOIL PHILIPPINES, INC.",Corporation,26-Feb-2008,Platinum,Active,03-Aug-2020,03-Aug-2021,200802574851838111281
481,481,"NORTHERN STAR INVESTIGATION AND SECURITY AGENCY, INC.",Corporation,16-Aug-2006,Platinum,Active,24-Jul-2020,24-Jul-2021,20060810856146299929
482,482,REINFORCEMENT LIGHTS AND SOUNDS,Single Proprietorship,22-Sep-2016,Platinum,Active,27-Jul-2020,27-Jul-2021,20160918600394673152
483,483,R.A.J. CONCRETE PRODUCTS AND GEN. MDSE.,Single Proprietorship,08-Nov-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201211615851695124368
484,484,"BAMBANG MEDICAL & HOSPITAL, EQUIPMENT SUPPLY CO,",Partnership,21-May-2018,Platinum,Active,24-Jul-2020,24-Jul-2021,20180598991350511976
485,485,FAME CONSTRUCTION TRADING,Single Proprietorship,20-Jul-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,20200722145292464789
486,486,NERO & 3A ENTERPRISES,Single Proprietorship,19-Jul-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201207561701211914683
487,487,PAMANA WATER CORPORATION,Corporation,23-Mar-2018,Platinum,Active,24-Jul-2020,30-Aug-2021,201803107399273031285
488,488,ARVEN CONSTRUCTION & CONSTRUCTION SUPPLY,Single Proprietorship,05-Feb-2004,Platinum,Active,24-Jul-2020,24-Jul-2021,20040226341779644496
489,489,MACALI OFFICE AND SCHOOL SUPPLIES TRADING,Single Proprietorship,16-Jul-2020,Platinum,Active,23-Jul-2020,23-Jul-2021,2020072211701411161626
490,490,HILLBRAND ENGINEERING,Single Proprietorship,05-Jul-2007,Platinum,Active,24-Jul-2020,24-Jul-2021,20070714919122074401
491,491,HAFID N' ERASMUS CORPORATION,Corporation,27-Jun-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201906361281866691552
492,492,NGEC-NESTOR GENERAL ENGINEERING & CONSTRUCTION,Single Proprietorship,01-Mar-2011,Platinum,Active,24-Jul-2020,24-Jul-2021,201103390671885799403
493,493,"LENIN COMPUTER SYSTEMS, INC.",Corporation,03-Oct-2007,Platinum,Active,03-Aug-2020,03-Aug-2021,200710167951713290583
494,494,JC COMPUTER & GENERAL MERCHANDISE,Single Proprietorship,18-Jun-2014,Platinum,Active,24-Jul-2020,25-Jul-2021,2014061053671797482271
495,495,L.P.E.S. & CONSTRUCTION,Single Proprietorship,26-Mar-2010,Platinum,Active,24-Jul-2020,24-Jul-2021,201003330741292803209
496,496,XURPAS ENTERPRISE INC.,Corporation,12-May-2017,Platinum,Active,14-Aug-2020,14-Aug-2021,2017051627131121258004
497,497,C.C. DELA CRUZ CONSTRUCTION,Single Proprietorship,23-May-2019,Platinum,Active,12-Aug-2020,12-Aug-2021,201905413611586202228
498,498,JERAH AUTO SUPPLY,Single Proprietorship,03-Apr-2009,Platinum,Active,29-Jul-2020,10-Aug-2021,200904259201176156057
499,499,"NEWINGTON BUILDERS, INC.",Corporation,20-Oct-2011,Platinum,Active,28-Jul-2020,23-Aug-2021,201110449081468958620
500,500,HABORUL LAND DEVELOPMENT,Single Proprietorship,06-Sep-2019,Platinum,Active,03-Aug-2020,03-Aug-2021,201909229181984435357
501,501,INFINITE TRADING,Single Proprietorship,12-Jan-2017,Platinum,Active,28-Jul-2020,01-Aug-2021,201701186061854748353
502,502,JJJARNS CONSTRUCTION,Single Proprietorship,08-Jun-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201206540441589592360
503,503,IMATECH CORPORATION,Corporation,26-Mar-2002,Platinum,Active,24-Jul-2020,24-Jul-2021,20020340954677613080
504,504,THORNS AND THISTLES,Single Proprietorship,17-Mar-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,2020032145722050486090
505,505,NORTHLANDER CONSTRUCTION,Single Proprietorship,21-Apr-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,2015041335941431538585
506,506,MEDSPECS SOLUTIONS INC.,Corporation,18-Apr-2016,Platinum,Active,27-Jul-2020,01-Aug-2021,201604168616395986519
507,507,DIMAX TECHNOLOGIES CENTER,Single Proprietorship,09-May-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201205526631418601767
508,508,A.G. ARAJA CONSTRUCTION & DEVELOPMENT CORPORATION,Corporation,13-Apr-2009,Platinum,Active,24-Jul-2020,24-Jul-2021,20090425970250270044
509,509,HESTON CONSTRUCTION,Single Proprietorship,20-Apr-2018,Platinum,Active,24-Jul-2020,16-Sep-2021,2018041034391292543349
510,510,NEW LEGAZPI FRONTLINER ENTERPRISES,Single Proprietorship,06-Nov-2004,Platinum,Active,24-Jul-2020,02-Aug-2021,200411275401238276428
511,511,CRYSTAL AGRICULTURAL PRODUCTS TRADING,Single Proprietorship,14-Jul-2020,Platinum,Active,03-Aug-2020,03-Aug-2021,2020072210041080652731
512,512,"HANNAH JOYCE AGRIVET MARKETING, POULTRY & LIVESTOCK SUPPLY",Single Proprietorship,26-Jan-2015,Platinum,Active,24-Jul-2020,14-Aug-2021,2015011245741986520715
513,513,MAX.IDEAS MARKETING CORPORATION,Corporation,02-Jun-2008,Platinum,Active,29-Jul-2020,29-Jul-2021,20080620792386704428
514,514,AGUA ESTAVEL WATER REFILLING STATION,Single Proprietorship,20-Apr-2017,Platinum,Active,24-Jul-2020,24-Jul-2021,2017041667681494306085
515,515,C.J. DELFIN AGRI-INDUSTRIAL SALES,Single Proprietorship,02-Oct-2014,Platinum,Active,24-Jul-2020,24-Jul-2021,201410115770975952455
516,516,TEKNOKRAT DIGITAL SOLUTIONS,Single Proprietorship,08-Feb-2011,Platinum,Active,24-Jul-2020,07-Aug-2021,20110255051535805577
517,517,PIZZAFEERA CAFE,Single Proprietorship,09-Jul-2020,Platinum,Active,27-Jul-2020,27-Jul-2021,202007220557273407727
518,518,R.A.J. CE CONSTRUCTION,Single Proprietorship,28-Feb-2007,Platinum,Active,24-Jul-2020,28-Aug-2021,200702129331345695121
519,519,VIRACDOTCOM ENTERPRISES,Single Proprietorship,21-Feb-2008,Platinum,Active,27-Jul-2020,27-Jul-2021,20080218985860886139
520,520,DACO SALES CORP.,Corporation,25-Jan-2005,Platinum,Active,27-Jul-2020,27-Jul-2021,20050161811742282203
521,521,LENS & THREADS DIGITAL WORKS,Single Proprietorship,23-Oct-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201210610631730487969
522,522,RNN CONSTRUCTION CORPORATION,Corporation,18-Feb-2004,Platinum,Active,28-Jul-2020,28-Jul-2021,2004022897320863680
523,523,AMORE-MIO CARGO MOVERS,Single Proprietorship,12-Dec-2018,Platinum,Active,24-Jul-2020,24-Jul-2021,20181263025991354371
524,524,JTA TRADING,Single Proprietorship,31-Jan-2013,Platinum,Active,28-Jul-2020,28-Jul-2021,201301651871166603625
525,525,JORVIVS CONSTRUCTION CORPORATION,Corporation,13-Apr-2005,Platinum,Active,24-Jul-2020,24-Jul-2021,2005047102219793888
526,526,"VERSATEST SOLUTIONS AND SERVICES, INC",Corporation,21-Apr-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201504133545571569940
527,527,YAHWEH CONSTRUCTION AND SUPPLY,Single Proprietorship,23-Aug-2019,Platinum,Active,07-Aug-2020,30-Aug-2021,201908256171912773579
528,528,TAM PRINTING PRESS,Single Proprietorship,14-Feb-2017,Platinum,Active,03-Aug-2020,03-Aug-2021,201702179857998504010
529,529,BARCOTECH PHILIPPINES INC.,Corporation,14-Nov-2018,Platinum,Active,24-Jul-2020,29-Jul-2021,201811677252089680240
530,530,LIFECORE BIO INTEGRATIVE INC.,Corporation,17-Jun-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,2020062215101740582473
531,531,PONCHING MAGSINO CONSTRUCTION SERVICES,Single Proprietorship,25-Apr-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,201904449041204250241
532,532,KWKC HARDWARE,Single Proprietorship,19-Jul-2018,Platinum,Active,24-Jul-2020,02-Aug-2021,201807885321588949469
533,533,WESTCO ELECTRICAL & EQUIPMENT CORPORATION,Corporation,16-Oct-2001,Platinum,Active,05-Aug-2020,05-Aug-2021,200110144901225770992
534,534,SEABURY MRO SOLUTIONS BV PHILIPPINES,Corporation,09-Aug-2019,Platinum,Active,27-Jul-2020,12-Sep-2021,20190828351759644186
535,535,BEWISE TRADING CORP. DOING BUSINESS UNDER THE NAME & STYLEOF PHARMAPLUS GENERIC & BRANDED DRUG DISTRIBUTOR & MEDICALSUPPLIES,Corporation,16-Feb-2015,Platinum,Active,10-Aug-2020,10-Aug-2021,2015021268391580178786
536,536,"REED STEEL FABRICATORS, INC.",Corporation,09-Jun-2006,Platinum,Active,24-Jul-2020,24-Jul-2021,200606504971238756702
537,537,MARKENZEL TRADING,Single Proprietorship,02-Jun-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,201506137539136228527
538,538,TACLOBAN LUCKY HARDWARE & FISHING SUPPLY INC.,Corporation,01-Mar-2013,Platinum,Active,24-Jul-2020,24-Jul-2021,20130367212765249073
539,539,GOAT2GEDER HOTEL AND RESTAURANT,Single Proprietorship,21-Mar-2011,Platinum,Active,29-Jul-2020,29-Jul-2021,201103396161373313375
540,540,BEBCON BUILDERS & SUPPLY,Single Proprietorship,25-Jan-2012,Platinum,Active,24-Jul-2020,24-Jul-2021,201201474321902911862
541,541,VELJEN GENERAL MERCHANDISE,Single Proprietorship,06-Nov-2017,Platinum,Active,27-Jul-2020,27-Jul-2021,2017111309162124309653
542,542,WHITE TORCH BUILDERS CORP.,Corporation,04-Oct-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,20191017588903261669
543,543,PSN CONSTRUCTION & SUPPLY,Single Proprietorship,01-Apr-2016,Platinum,Active,27-Jul-2020,27-Jul-2021,201604167434919669506
544,544,HANLA HEAVY EQUIPMENT CORPORATION,Corporation,20-Feb-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,2015021274021967050538
545,545,ARTMIGZ ENTERPRISES,Single Proprietorship,13-Mar-2015,Platinum,Active,24-Jul-2020,24-Jul-2021,2015031299341635607848
546,546,G7&AC TRADING,Single Proprietorship,25-Jun-2015,Platinum,Active,23-Jul-2020,23-Jul-2021,201506139981322150821
547,547,VANVI CONSTRUCTION,Single Proprietorship,20-Feb-2004,Platinum,Active,27-Jul-2020,27-Jul-2021,20040230671150085003
548,548,M.A.G MATERIALS AND SOIL TESTING CORPORATION,Corporation,14-Jun-2019,Platinum,Active,24-Jul-2020,24-Jul-2021,20190638365923872006
549,549,RIEZL LANDCARE AND CONSTRUCTION,Single Proprietorship,05-Jan-2005,Platinum,Active,24-Jul-2020,24-Jul-2021,20050159561618426340
550,550,AL WAH-HAAB ENTERPRISES,Single Proprietorship,01-Mar-2017,Platinum,Active,24-Jul-2020,24-Jul-2021,201703176367794083893
551,551,NUTRIDENSE FOOD MANUFACTURING CORPORATION,Corporation,25-May-2015,Platinum,Active,24-Jul-2020,25-Jul-2021,201505136680575457098
552,552,GREEN TOWN CONSTRUCTION SUPPLIES TRADING,Single Proprietorship,20-Jul-2020,Platinum,Active,27-Jul-2020,27-Jul-2021,202007221498716213703
553,553,MODERN SCRIBE PRINTING SOLUTIONS INC.,Corporation,26-Jun-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,20200621937611899195
554,554,"YIUCON UNLIMITED CONCEPT, INC.",Corporation,23-Jul-2018,Platinum,Active,27-Jul-2020,27-Jul-2021,20180787998362916625
555,555,JD 218 TRADING AND CONSTRUCTION,Single Proprietorship,09-Sep-2015,Platinum,Active,13-Aug-2020,28-Aug-2021,201509147601930561521
556,556,FIL POWER GROUP AND MARKETING CORPORATION,Corporation,12-Jun-2007,Platinum,Active,24-Jul-2020,28-Jul-2021,20070614185583797404
557,557,EPIC INDUSTRIAL SALES CORP.,Corporation,20-Jun-2008,Platinum,Active,27-Jul-2020,27-Jul-2021,200806210951208298132
558,558,"MANILA GRAND OPERA HOTEL, INC.",Corporation,22-Oct-2008,Platinum,Active,24-Jul-2020,24-Jul-2021,2008104506357810695
559,559,BACOLOD PUMPS AND MACHINERY CENTER,Single Proprietorship,29-Nov-2006,Platinum,Active,24-Jul-2020,20-Aug-2021,20061111888224972841
560,560,RIMJ CONSTRUCTION SUPPLIES AND SERVICES,Single Proprietorship,04-Dec-2007,Platinum,Active,29-Jul-2020,07-Aug-2021,200712178571118310248
561,561,CANOMED CORPORATION,Corporation,21-Mar-2002,Platinum,Active,29-Jul-2020,29-Jul-2021,2002035961546076213
562,562,"MARKETZONE, INC.",Corporation,22-Aug-2007,Platinum,Active,24-Jul-2020,03-Aug-2021,200708159851374148854
563,563,JADL CONSTRUCTION AND TRADING,Single Proprietorship,14-Feb-2014,Platinum,Active,28-Jul-2020,24-Aug-2021,201402938131482877511
564,564,FASS BUILDERS,Single Proprietorship,07-Dec-2018,Platinum,Active,27-Jul-2020,27-Jul-2021,201812638811380119203
565,565,AMMS AIRCON MARKETING AND MAINTENANCE SERVICES,Single Proprietorship,19-May-2009,Platinum,Active,24-Jul-2020,24-Jul-2021,20090526626798465410
566,566,KENTARU CONSTRUCTION AND SUPPLIES,Single Proprietorship,27-Jun-2019,Platinum,Active,24-Jul-2020,31-Jul-2021,201906361061003838987
567,567,AREM SECURITY AND INVRSTIGATION AGENCY,Single Proprietorship,03-Jul-2020,Platinum,Active,24-Jul-2020,24-Jul-2021,202007219954704940141
568,568,MASANGKAY COMPUTER CENTER,Single Proprietorship,20-Jan-2005,Platinum,Active,05-Aug-2020,07-Aug-2021,20050161151839609693
569,569,"AARON GROUP OF COMPANY,INC.",Corporation,25-Nov-2016,Platinum,Active,28-Jul-2020,28-Jul-2021,201611192173152563251
