Procuring Entity name,Edited Start Date,Amount Awarded
Department of Labor and Employment Regional Office No. VIII,2020-05-04,4649280.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,4640000.0
LGU- San Miguel Bulacan,2020-04-30,4638000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,4630000.0
City Government of Santa Rosa,2020-05-05,4600000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,4600000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-20,4600000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,4600000.0
DEPARTMENT OF AGRICULTURE - REGIONAL FIELD OFFICE 7,2020-07-16,4595013.2
Department of Labor and Employment Regional Office No. VIII,2020-05-12,4590000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,4572494.39
Provincial Government of Pangasinan,2020-06-18,4560000.0
LGU- San Miguel Bulacan,2020-04-24,4536000.0
Benguet Provincial Government,2020-04-30,4500000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-01,4500000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,4497000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,4482000.0
Provincial Government of Nueva Ecija,2020-04-30,4478160.0
Baguio General Hospital and Medical Center,2020-06-19,4450000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,4450000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-30,4437500.0
BATANES GENERAL HOSPITAL,2020-06-11,4435000.0
Provincial Government of Batangas,2020-05-20,4430500.0
Local Government Unit - Baao,2020-06-15,4425000.0
Jose R. Reyes Memorial Medical Center,2020-06-22,4425000.0
LOCAL GOVERNMENT UNIT OF BAKUN,2020-05-14,4416640.0
Municipality of Quezon,2020-04-15,4400000.0
Dr. Jose Fabella Memorial Hospital,2020-03-20,4400000.0
MUNICIPALITY OF MAGALANG,2020-04-13,4400000.0
LGU-Maasin City,2020-05-16,4400000.0
Local Government Unit of the Island Garden City of Samal,2020-06-02,4400000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-07,4400000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-01,4400000.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-24,4399310.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-24,4399310.0
Municipal Government of Quezon,2020-04-03,4387740.0
Tondo Medical Center,2020-07-07,4380000.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-06-01,4380000.0
Municipality of Pagbilao,2020-05-22,4357030.0
Department of Labor and Employment Regional Office No. VIII,2020-05-23,4352088.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-04-30,4350000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-07,4350000.0
Municipal Government of Quezon,2020-04-03,4343862.6
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-10,4320000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-25,4300000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,4288000.0
University of the Philippines Los Baños,2020-04-29,4260000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,4257462.0
Benguet Provincial Government,2020-05-05,4253260.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,4250000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-14,4250000.0
Local Government Unit of Aleosan,2020-05-11,4242000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,4230740.0
Municipality of Quezon,2020-04-14,4225752.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,4223000.0
LGU_Dipaculao,2020-04-29,4220000.0
Department of Agriculture Regional Field Office 10,2020-06-23,4212500.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,4210875.0
Rizal Provincial Government,2020-05-27,4200000.0
Davao City Water District,2020-04-22,4200000.0
Davao City Water District,2020-04-24,4200000.0
Southern Philippines Medical Center,2020-06-24,4200000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,4200000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,4200000.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-10,4182000.0
Jose R. Reyes Memorial Medical Center,2020-05-29,4178900.0
WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),2020-06-19,4175000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-24,4171250.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-04-24,4170000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,4161000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,4160000.0
Department of Health,2020-03-25,4159500.0
Province of Antique,2020-05-26,4154000.0
LOCAL GOVERNMENT UNIT OF TITAY,2020-06-18,4150580.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,4140000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-19,4133830.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,4130920.0
CAGAYAN VALLEY MEDICAL CENTER,2020-05-28,4126892.0
DOH - Davao Center for Health Development,2020-07-08,4125000.0
MUNICIPALITY OF MATAASNAKAHOY,2020-05-11,4116400.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-27,4107000.0
Department of Agriculture RFO 5,2020-05-08,4097950.0
Department of Labor and Employment Regional Office No. VIII,2020-03-25,4095100.0
CITY GOVERNMENT OF CABUYAO,2020-04-17,4095000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,4095000.0
LGU Tagbilaran City,2020-03-27,4094839.4
Department of Labor and Employment Regional Office No. VIII,2020-07-03,4087500.0
City of Bogo,2020-04-22,4078426.0
Provincial Government of Pangasinan,2020-06-20,4071600.0
Cebu City Government,2020-04-25,4070000.0
LGU-Olongapo City,2020-04-23,4070000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-20,4050000.0
Municipality of Tanay,2020-05-20,4040685.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,4037503.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,4036997.5
City Government of Taguig,2020-05-13,4033375.0
Department of Labor and Employment Regional Office No. VIII,2020-07-10,4030000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,4021600.0
WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),2020-05-21,4006900.0
Rizal Provincial Government,2020-05-06,4000000.0
St. Anthony Mother and Child Hospital,2020-06-23,4000000.0
St. Anthony Mother and Child Hospital,2020-06-18,4000000.0
Research Institute for Tropical Medicine (RITM-DOH),2020-04-01,4000000.0
LGU - Kabankalan City,2020-05-08,4000000.0
Southern Philippines Medical Center,2020-04-29,4000000.0
Tondo Medical Center,2020-06-05,4000000.0
LGU- Mangaldan,2020-05-13,4000000.0
DOH - Davao Center for Health Development,2020-05-04,4000000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-24,4000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,4000000.0
LGU - Kabankalan City,2020-05-20,3999990.0
Province of Antique,2020-06-08,3999936.0
Department of Health Central Visayas Center for Health Development,2020-06-08,3997000.0
Local Government Unit of the Island Garden City of Samal,2020-07-06,3993000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-17,3988899.0
Department of Labor and Employment Regional Office No. VIII,2020-05-08,3985200.0
Municipality of Batad Iloilo,2020-07-14,3985000.0
Department of Health Central Visayas Center for Health Development,2020-06-10,3979760.0
Department of Social Welfare and Development - Caraga,2020-06-15,3978000.0
City Government of Taguig,2020-03-20,3970200.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,3968000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,3953000.0
Municipality of San Jose,2020-06-18,3946995.0
Basilan General Hospital,2020-07-15,3940000.0
LOCAL GOVERNMENT OF SAN LUIS,2020-04-17,3926880.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-06,3920000.0
Office of Civil Defense,2020-04-16,3915000.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-29,3908750.0
LGU-Mabinay,2020-04-28,3907125.0
Provincial Local Government Unit of Ifugao,2020-06-17,3905250.0
LGU-Mabinay,2020-04-28,3902250.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,3901761.5
Rizal Provincial Government,2020-06-19,3900000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-11,3900000.0
CITY GOVERNMENT OF CABUYAO,2020-05-15,3875500.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-02,3875000.0
BATANES GENERAL HOSPITAL,2020-06-11,3860000.0
LGU-Olongapo City,2020-05-04,3858175.0
Provincial Government of Palawan,2020-07-10,3848926.67
GOVERNOR CELESTINO GALLARES MEMORIAL HOSPITAL,2020-06-17,3847500.0
Provincial Government of Palawan,2020-07-08,3839182.15
Provincial Government of Palawan,2020-07-08,3838801.72
Department of Labor and Employment Regional Office No. VIII,2020-07-08,3832000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,3830778.3
Department of Labor and Employment Regional Office No. VIII,2020-06-09,3830200.0
Provincial Government of Palawan,2020-07-08,3817957.71
Municipality of Tanay,2020-04-22,3817800.0
Municipality of Tanay,2020-05-14,3817800.0
City Government of Antipolo,2020-05-12,3800000.0
Research Institute for Tropical Medicine (RITM-DOH),2020-06-01,3800000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,3800000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-02,3800000.0
DEPARTMENT OF AGRICULTURE REGIONAL FIELD OFFICE 1,2020-05-14,3800000.0
MUNICIPALITY OF PANGLAO,2020-05-15,3799600.0
Municipal Government of Quezon,2020-04-03,3797500.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-10,3795596.0
Municipality of Santa Catalina,2020-05-06,3792500.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-04-30,3788940.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,3784800.0
LGU OZAMIZ CITY,2020-06-17,3780000.0
Local Government Unit of the Island Garden City of Samal,2020-07-02,3777754.0
LGU-MOALBOAL,2020-05-04,3766230.0
Department of Labor and Employment Regional Office No. VIII,2020-05-01,3765500.0
LGU Josefina,2020-05-19,3760180.0
Municipal Government of Quezon,2020-04-03,3759525.0
Research Institute for Tropical Medicine (RITM-DOH),2020-04-30,3750000.0
Municipality of San Juan,2020-04-24,3750000.0
BATANGAS MEDICAL CENTER,2020-07-07,3750000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-29,3750000.0
Local Government Unit - Baao,2020-04-07,3740000.0
Local Government Unit - Baao,2020-04-06,3740000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-06,3731780.26
Department of Labor and Employment Regional Office No. VIII,2020-04-28,3718400.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,3710400.0
Department of Labor and Employment Regional Office No. VIII,2020-06-10,3700350.0
City Government of Taguig,2020-05-15,3700000.0
PROVINCIAL GOVERNMENT OF AURORA,2020-05-19,3700000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-30,3694560.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,3690000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-21,3690000.0
Municipality of San Jose,2020-05-05,3683750.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,3675300.0
Department of Labor and Employment Regional Office No. VIII,2020-03-27,3672000.0
Bicol Medical Center,2020-04-29,3645000.0
LGU Tagbilaran City,2020-04-21,3639527.5
Department of Labor and Employment Regional Office No. VIII,2020-05-15,3634176.0
Department of Labor and Employment Regional Office No. VIII,2020-04-15,3625000.0
Municipality of Quezon,2020-03-23,3618000.0
Provincial Government of Bulacan,2020-06-05,3600000.0
LUNG CENTER OF THE PHILIPPINES,2020-07-09,3600000.0
Local Government Unit - Santa Rosa,2020-03-23,3600000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,3600000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,3600000.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-05-21,3600000.0
PROVINCIAL GOVERNMENT OF SURIGAO DEL NORTE,2020-06-23,3600000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-02,3600000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,3600000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,3599750.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,3599228.0
University of the Philippines Los Baños,2020-05-20,3596582.0
LGU-Gamay,2020-05-06,3591104.65
Municipality of Tanay,2020-04-28,3590929.0
Department of Social Welfare and Development - Caraga,2020-04-29,3584250.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,3561531.2
San Lazaro Hospital,2020-06-23,3555000.0
Dr. Jose Fabella Memorial Hospital,2020-06-23,3555000.0
LGU OZAMIZ CITY,2020-04-22,3551210.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,3550000.0
Municipality of Sibonga,2020-05-05,3525000.0
Local Government Unit - Santa Rosa,2020-04-27,3520000.0
Municipal Government of Quezon,2020-05-06,3512400.0
LGU-Pinamalayan,2020-05-11,3511602.6
Provincial Government of Batangas,2020-06-10,3507000.0
Bureau of Corrections-NBP,2020-04-21,3507000.0
City Government of Santa Rosa,2020-05-26,3500250.0
Department of Labor and Employment Regional Office No. VIII,2020-05-20,3500200.0
City Government of Taguig,2020-03-31,3500000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-20,3500000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-06-22,3500000.0
Department of Health-Center for Health Development-Cordillera Administrative Region,2020-05-05,3500000.0
Municipality of San Jose,2020-06-18,3500000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,3500000.0
DPWH_Regional Office7,2020-07-13,3499499.99
Provincial Government of Pangasinan,2020-06-18,3498750.0
Provincial Government of Pangasinan,2020-06-18,3498750.0
Department of Labor and Employment Regional Office No. VIII,2020-05-20,3496500.0
LGU-Guiuan,2020-04-20,3495502.75
Department of Labor and Employment Regional Office No. VIII,2020-07-20,3495000.0
LGU - Sergio Osmeña,2020-04-27,3493875.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,3482920.0
Local Government Unit of Naga,2020-04-29,3480000.0
Municipal Government of Carmona,2020-05-27,3477423.0
LGU - Kabankalan City,2020-05-27,3473768.59
City Government of Tacurong,2020-06-09,3469999.63
Department of Labor and Employment Regional Office No. VIII,2020-04-23,3464842.74
Department of Labor and Employment Regional Office No. VIII,2020-04-15,3461975.0
Municipality of Bantayan,2020-05-12,3458250.0
Bureau of Quarantine,2020-05-15,3450000.0
LUIS HORA MEMORIAL REGIONAL HOSPITAL,2020-06-18,3450000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,3450000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,3448152.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-08,3437500.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-08,3437500.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-04-07,3437500.0
BATANGAS MEDICAL CENTER,2020-06-25,3432000.0
The Provincial Government of Catanduanes,2020-04-17,3414924.0
Department of Labor and Employment Regional Office No. VIII,2020-06-02,3411328.7
Department of Agriculture RFO 5,2020-05-20,3410400.0
Local Government Unit-Morong,2020-05-11,3409000.0
Local Government Unit of the Island Garden City of Samal,2020-04-15,3400000.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-06-09,3400000.0
LGU CALASIAO PANGASINAN,2020-03-31,3398850.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-16,3390800.0
MUNICIPALITY OF HERMOSA,2020-04-23,3385800.0
The Provincial Government of Catanduanes,2020-06-05,3371500.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-06-16,3360000.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-10,3360000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,3349472.0
Municipality of Tanay,2020-05-20,3344876.28
Department of Agrarian Reform Sultan Kudarat,2020-05-15,3342700.0
LGU-Olongapo City,2020-04-21,3330000.0
Local Government Unit of Sulop,2020-05-04,3321000.0
Local Government Unit of Sulop,2020-05-04,3321000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-17,3320450.0
Provincial Government of Palawan,2020-06-03,3315200.0
MUNICIPALITY OF MAGALANG,2020-04-10,3300000.0
MUNICIPALITY OF MAGALANG,2020-04-14,3300000.0
Mindano Central Sanitarium,2020-07-04,3300000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-10,3300000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-03,3300000.0
Department of Health Central Visayas Center for Health Development,2020-06-01,3288888.0
Municipality of Sibonga,2020-04-27,3283220.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,3280000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-05-20,3276000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,3268000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-16,3265000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,3256346.21
Department of Labor and Employment Regional Office No. VIII,2020-05-12,3250000.0
DOH - Davao Center for Health Development,2020-07-07,3250000.0
Municipality of Pagbilao,2020-05-08,3241310.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,3240000.0
Provincial Government of Nueva Ecija,2020-05-04,3235454.0
Department of Labor and Employment Regional Office No. VIII,2020-07-09,3235200.0
LGU Banate,2020-03-26,3232500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,3225000.0
LGU Tagum City,2020-04-30,3221000.0
WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),2020-04-29,3220082.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,3213600.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,3204000.0
City Government of Taguig,2020-03-30,3200000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-08,3200000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,3198600.0
LGU ALABEL,2020-05-13,3183600.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,3183500.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,3181805.0
Provincial Government of Nueva Ecija,2020-04-30,3172200.0
Municipality of Guimba,2020-04-24,3170000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-26,3169900.0
Provincial Government of Bulacan,2020-03-31,3168000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-27,3162000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,3160245.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,3157000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,3150000.0
Provincial Government of Aklan,2020-05-26,3147720.0
Provincial Government of Pangasinan,2020-05-07,3140400.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,3139225.0
Department of Labor and Employment Regional Office No. VIII,2020-06-08,3136401.25
Local Government Unit - Baao,2020-03-30,3136000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,3136000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-20,3126000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,3125000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-15,3125000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,3120000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,3117600.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,3116000.0
Benguet Provincial Government,2020-05-28,3100000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-05-15,3100000.0
Department of Health - Metro Manila - Center for Health Development,2020-04-17,3100000.0
Department of Social Welfare and Development - Caraga,2020-04-28,3092190.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,3091040.0
DPWH - North Manila District Engineering Office,2020-04-02,3087928.0
Provincial Government of Aklan,2020-05-27,3080000.0
Municipality of Sibonga,2020-05-05,3078000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,3069000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,3065100.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,3065100.0
CITY GOVERNMENT OF CABUYAO,2020-04-13,3062430.56
CAGAYAN VALLEY MEDICAL CENTER,2020-05-26,3048900.0
LGU - Sergio Osmeña,2020-04-24,3033750.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,3030000.0
Municipality of Paete,2020-06-11,3029400.0
Department of Labor and Employment Regional Office No. VIII,2020-03-20,3024400.0
Research Institute for Tropical Medicine (RITM-DOH),2020-06-01,3024000.0
Department of Agriculture RFO 5,2020-05-08,3003000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,3000800.0
BATANES GENERAL HOSPITAL,2020-06-29,3000300.0
LGU-NAAWAN,2020-04-23,3000000.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-08,3000000.0
Local Government Unit of Naga,2020-05-22,3000000.0
MUNICIPALITY OF BINMALEY,2020-04-22,3000000.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-03-19,3000000.0
MUNICIPALITY OF SAN MARCELINO,2020-04-15,3000000.0
Department of Health,2020-06-30,3000000.0
Provincial Government of Bulacan,2020-06-05,3000000.0
Department of Health,2020-06-30,3000000.0
Provincial Government of Apayao,2020-06-09,3000000.0
LGU-Olongapo City,2020-04-30,3000000.0
Provincial Government of Pangasinan,2020-05-07,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,3000000.0
Provincial Government of Pangasinan,2020-06-22,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,3000000.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-03-18,3000000.0
Office of Civil Defense,2020-03-24,3000000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-05-19,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-10,3000000.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-06,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-17,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-17,3000000.0
Benguet Provincial Government,2020-06-23,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,3000000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,3000000.0
LGU -SANTA CRUZ LAGUNA,2020-04-29,2999875.0
Municipal Government of San Antonio,2020-04-07,2999870.0
Province of Antique,2020-04-30,2999815.0
Department of Labor and Employment Regional Office No. VIII,2020-03-18,2998500.0
CITY GOVERNMENT OF CABUYAO,2020-06-23,2998370.0
LGU - Kabankalan City,2020-05-14,2998005.0
CLMMRH,2020-05-07,2998000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,2998000.0
CITY GOVERNMENT OF KORONADAL,2020-03-31,2995000.0
Department of Health - Center for Health Development I,2020-06-25,2994000.0
Department of Agriculture RFO 5,2020-05-08,2992000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-18,2987400.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,2985000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,2984880.0
lipa city government,2020-04-21,2983500.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,2980000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,2979500.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-04,2976343.85
Department of Labor and Employment Regional Office No. VIII,2020-05-20,2976232.5
Municipality of Quezon,2020-03-19,2973000.0
Municipal Government of Tadian,2020-05-04,2972124.0
Municipality of Paete,2020-04-29,2970000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-27,2970000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-27,2970000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-08,2970000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-21,2954250.0
City Government of Biñan,2020-04-30,2951000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-26,2950000.0
Talisay District Hospital,2020-06-17,2945995.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-04,2938196.3
Department of Labor and Employment Regional Office No. VIII,2020-05-15,2930104.3
Department of Labor and Employment Regional Office No. VIII,2020-05-11,2930000.0
Local Government Unit-Morong,2020-05-13,2925000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,2925000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-25,2922305.0
Provincial Government of Pangasinan,2020-04-14,2918356.0
The Provincial Government of Catanduanes,2020-05-29,2916000.0
Research Institute for Tropical Medicine (RITM-DOH),2020-05-28,2914560.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,2913849.6
Department of Labor and Employment Regional Office No. VIII,2020-05-14,2913750.0
Municipal Government of Carmona,2020-04-24,2903892.0
Municipal Government of Carmona,2020-04-24,2903892.0
Department of Labor and Employment Regional Office No. VIII,2020-04-14,2900000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-06,2897000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-08,2882442.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,2882424.75
Department of Labor and Employment Regional Office No. VIII,2020-04-30,2880100.5
Municipality of Quezon,2020-03-23,2880000.0
Local Government Unit of Hagonoy,2020-06-05,2880000.0
Local Government Unit of Hagonoy,2020-06-05,2880000.0
Local Government Unit of Hagonoy,2020-06-03,2880000.0
CITY GOVERNMENT OF PUERTO PRINCESA,2020-06-03,2880000.0
Local Government Unit of the Island Garden City of Samal,2020-07-06,2879800.0
Hon. Barry Y. Baguio,2020-04-17,2878750.0
Hon. Barry Y. Baguio,2020-04-17,2877500.0
LGU-Olongapo City,2020-06-15,2874280.32
University of the Philippines Los Baños,2020-05-26,2866125.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,2866020.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,2854200.0
DOH - Davao Center for Health Development,2020-06-01,2853043.2
MUNICIPALITY OF BINMALEY,2020-03-17,2850000.0
Municipality of Sibonga,2020-04-13,2847800.0
LGU-Maasin City,2020-03-26,2841315.0
Department of Labor and Employment Regional Office No. VIII,2020-05-14,2840000.0
MUNICIPALITY OF SAN MARCELINO,2020-04-29,2838000.0
Provincial Government of La Union,2020-04-24,2834055.0
Department of Labor and Employment Regional Office No. VIII,2020-04-03,2833920.0
DEPARTMENT OF AGRARIAN REFORM,2020-06-19,2829534.05
Department of Labor and Employment Regional Office No. VIII,2020-07-02,2820000.0
Southern Philippines Medical Center,2020-06-05,2815000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,2800983.0
Municipality of Tanay,2020-04-17,2800000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-13,2798663.35
LGU - Sergio Osmeña,2020-04-23,2787500.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-28,2786900.0
LGU-Maasin City,2020-03-30,2782240.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,2778989.5
MUNICIPAL GOVERNMENT OF MARAMAG,2020-04-14,2778500.0
Provincial Government of Pangasinan,2020-05-04,2778000.0
MUNICIPALITY OF SUYO,2020-05-11,2762000.0
City Government of Antipolo,2020-06-18,2760000.0
DR. JOSE RIZAL MEMORIAL HOSPITAL,2020-06-23,2760000.0
Provincial Government of Pangasinan,2020-05-07,2750000.0
LGU-Olongapo City,2020-04-28,2750000.0
