Name Of Awarded Company,Amount Awarded
INFINITE ENTERPRISES,1799000.0
REDWINGS TRADING,1794000.0
RUBY'S PANCITERIA,1793000.0
"CEBU FAR EASTERN DRUG, INC.",1791941.0
JILIJHEN ENTERPRISES,1791550.0
"ARRIANNE MERCHANDISING SERVICES, INC.",1786582.89
CEMCEIR TRADING CORP.,1785000.0
GSP Enterprises,1782537.0
JOSMARC ENTERPRISES,1780000.0
"Shoepplier, Inc.",1774143.2000000002
"Two Brothers Grocery, Inc.",1770831.9199999997
Corbrige Group Inc,1769000.0
McGC Meditel Corporation,1767300.0
DREAM TEAM VENTURES,1765969.0
ECE MARKETING,1757970.0
MRL CYBERTEC CORP.,1757403.0
SURGICO PHILIPPINES INCORPORATED,1755350.0
Loves Medical Equipment & Supplies Trading,1752000.0
ALBACOPA FEDERATION OF COOPERATIVES,1751198.98
APT DRUGS TRADING,1750420.0
"DAVAO ATHENA DRUG & GENERAL MERCHANDISE, INC.",1745528.0
Daville Pharmaceutical Company,1744740.0
Janalec Enterprises,1744082.8
"OMNIBUS Biomedical Systems, Inc.",1743000.0
L.M. RICO STORE,1742400.0
LMH MEDICAL SUPPLY DISTRIBUTOR,1740000.0
MB & SON'S TRADING,1733900.0
P.T. CERNA CORPORATION,1731800.0
AH SHOPPER'S MART INC.,1731351.5
22M GENERAL MERCHANDISE,1731078.0
SUBWAYS MARKETING,1726200.0
Jamm's Office and Office Supplies,1726000.0
Biosite medical Instruments,1722500.0
Marinel Palay Trading,1714000.0
B.U.Y. Property Development Corp.,1713129.6
"MEDISAFE PHILIPPINES, INCORPORATED",1710000.0
LADYJEN MEDICAL TRADING,1708300.0
MCVSIX Enterprises,1708000.0
RENSIS TRADING,1707724.0
FJC RICEMILL AND GRAINS,1707000.0
"Bullseye Solutions, Inc",1700000.0
RG Meditron,1700000.0
GEEMED Enterprises,1695235.0
DADI ENTERPRISES AND CONSTRUCTION SUPPLY/ JAY-AR R. MALAPIT,1689800.0
FIRECOACH TRADING,1686080.0
Navarro Mini-Mart,1683659.48
Compuspec Sales & Services,1681644.72
G CHEMTRADING CORPORATION,1679000.0
Golden Farm Agricultural Supply,1668120.0
D128 LODGE,1668000.0
Clavite Construction and Supply,1666743.0
Caliber Industrial Sales Corp.,1663200.0
Eco-Hygiene Institutional Sales Corporation,1662155.0
L.R.N. Ventures Inc.,1652050.0
DRAKE MARKETING AND EQUIPMENT CORPORATION,1650500.0
G.R. JAUCULAN,1650000.0
"NPK MEDICAL TRADING, INC.",1650000.0
JNA STORE,1650000.0
BEEBO BAKESHOP,1650000.0
Local Farmers of Libjo,1648500.0
Primesolv Technologies Co,1647985.0
ELTRA ELECTRIC POWER CONTROL SYSTEM,1645980.0
KIKAY Poultry,1644640.0
Southbest Marketing Inc.,1641600.0
PHIL PHARMACEUTICALS INC.,1638892.5
VICKY'S GROCERY,1636063.04
"CENTURY PACIFIC FOOD, INC.",1634788.75
BLUE DRAGON PHARMACEUTICAL TRADING,1629283.65
KRYPTON INTERNATIONAL RESOURCES SALES & SERVICES INC.,1628250.0
GoodWill Shop -On Mart,1628000.0
RWJ Corrugating Board Machine Maintenance Services,1627000.0
Nash Mini Mart / Nasser U. Abduhari,1625000.0
"ICARE LIFE MEDICAL DEVICES, INC.",1618500.0
RAMIKE CONSTRUCTION,1618346.5899999999
Lemar's Electronics and General Merchandise,1617241.0
"New Generation Food Products Tarlac, Inc.",1612646.0200000003
NIÃ‘OS GENERAL MERCHANDISE,1612500.0
VDS REPAIR AND WELDING SHOP,1605000.0
RICAF STORE,1604400.0
Ara Sari Sari Store,1600000.0
"NPK MEDICAL TRADING, INC",1600000.0
Loves Medical Equipment and Supplies Trading,1600000.0
BLUEDRAGON PHARMACEUTICAL TRADING,1598900.0
Wedding East Catering Services,1593718.5
Centro Supersales INC.,1593000.0
"P & J Agricultural Trading, Inc.",1592500.0
BEE BEE BAZAR,1590238.6
ALOG & COMPANY INCORPORATED,1587090.48
Power House Pest Control Services,1585874.0
EIMMAR'S DRUG CENTER,1584626.0
EFB Bio Farm Supply,1584000.0
Mabini Farm Family Multi-Purpose Cooperative,1583600.0
Multi-Teknika DMDS,1580000.0
Mems Pensionne Hauz and Restaurant,1575000.0
JEEF MERCHANDISING,1573597.5
"SCIENTIFIC BIOTECH SPECIALTIES, INC.",1569000.0
"Save Everyday Mart, Inc.",1565250.8
OLTEN INSTRUMENTS PHILS.CORP.,1562000.0
Berovan Marketing Inc,1560250.0
ANSTEC,1558200.0
TechnoBio Marketing,1553938.0
Nalamar Restaurant and Catering Services/ Alexander V. Estabillo,1550000.0
SHANGRI-LA RICE MILL & BUYING STATION,1550000.0
Jen Bulls Catering Services,1548896.0
Mac Pharma and Medical Supplies,1548348.0
ILOILO SUPERMART INC.,1542040.6
MEDCONNECT PHARMACY,1541060.2
ENGLAND TEXTILES,1538930.0
Prowealth Industries,1537000.0
RMJA TRADING & GENERAL MERCHADISE,1536000.0
Green Season Rice Mill & Grain Center,1535500.0
De-Liz Catering Services,1533300.0
Zenaida A. Angara Sari-Sari Store,1523563.69
"Zamboanga del Norte Seed Producers, Inc.",1520000.0
Gold Fortune 3 General Merchandise,1519665.0
Procurement Service -Department of Budget & Management,1519133.0
Romy Ramirez,1517000.0
Frankie's Catering Services,1512187.0
M. Moreno Lodge & Restaurant,1509155.0
Infinitrix Medical Equipment and Supplies Trading,1508614.0
P.A. Mendoza Trading & General Merchandise,1504180.0
GRAND LOGISTICS AND HOLDING CORPORATION,1501083.84
VLP SAHARA FARM CORP.,1500750.0
23 AND ME PHARMACEUTICAL CORPORATION,1500000.0
"Pro-poor Pharmaceutical, Drughaus, Medical and Dental Supplies & Laboratory Inc.",1500000.0
FAIR & SQUARE MARKETING COMPANY,1500000.0
"Market Strategic Firm, Inc.",1500000.0
"EADRIX PHARMACEUTICAL PHILS.,INC",1500000.0
INNERCORE HEALTHCARE ENT. INC.,1500000.0
Zanice Pharmaceutical,1499949.0
CANOMED CORPORATION,1499852.8
F & N Enterprises and Gen. Merchandise,1499750.0
F & N Enterprises and Gen. Mdse.,1498500.0
SOFIA Enterprises,1497620.0
VENZER'S TRADING,1496000.0
GRJC Agri Industrial Machineries,1493200.0
VALDORA PHARMA TRADING,1492075.0
BOHOL QUALITY CORPORATION - Tagbilaran City,1490461.9000000001
8J Pharmacy,1490340.0
AQUAMED ENTERPRISE,1490000.0
ESTRALL MARKETING,1488000.0
"Astro Builders and Construction Resources, Inc.",1487588.81
Juniper 3 Procurement Corp,1486250.0
BOSTON HOME INC.,1485000.0
CARDOREE INC.,1485000.0
FMG TRADING AND CONSTRUCTION SUPPLY,1482560.0
"Jet Construction, Supplies & Services",1482500.0
KLAM TRADING,1480850.0
RAYOS TRADING & GENERAL MERCHANDISE,1480840.0
"MANILA HEALTHTEK, INC.",1478400.0
KING KENN ENTERPRISES,1472825.9
R.B. Pano Construction and Supply,1466154.31
Megastar Printers Enterprises & Service,1462500.0
La Reina Fresh Vegetables & Young Indoor Plants Inc.,1462500.0
77CSV Corporation,1461360.0
Goldmedlines Drug Distribution,1460500.0
NML AND E WORLDWIDE FASHION,1460000.0
RDC TECHNOLOGY SOLUTIONS,1460000.0
CAREMED MEDICAL SUPPLIES,1459640.0
Eastern tanay Supermarket Inc.,1459140.0
Centennial Food Corporation,1458450.0
EJ Marketing,1457905.0
J.M. DIZON PHARMACEUTICALS & GEN. MDSE.,1456150.0
CITY IMPORT COMMERCIAL,1455583.0
Patriz Pharmacy,1454524.0
Bluedragon Pharmaceutical Trading,1453385.8199999998
FOODSPHERE INC.,1452816.0
JULIE B. BANTILLO,1450000.0
IDS MEDICAL SYSTEMS PHILIPPINES,1450000.0
MELLMARR ENTERPRISES,1447747.0
LKS-RX Convenience Store,1445000.0
Thea Computer Sales Services & Enterprises,1444563.75
D2 Prints and Creatives Corp,1442555.0
FIL-ANASERVE INC.,1439210.0
Mhiradge Enterprises,1439123.0
Helen's Variety Store,1438712.5
Pages Enterprises,1436597.5
"Santiago Commercial Center, Inc",1433550.0
Orient Star Construction Inc.,1432612.38
Lifeline Diagnostics Supplies Inc.,1430400.0
SINDY'S MINI DRESSING PLANT AND ABBATOIR,1430148.0
GINALYN P. REGIO STORE,1430000.0
PHARMA MED DRUGSTORE,1429555.0
"Mitsui Trading Phil., LTD. Co.",1425000.0
GREENSTONE PACKAGING CORPORATION,1425000.0
ANICIA T. PAMPANGAN TRADING,1423000.0
APCO MEDICAL SUPPLY AND SERVICES,1419000.0
ALTAMEDICA INCORPORATED,1417800.0
SummerLove General Merchandize OPC,1417000.0
PCSM TRADING,1414956.0
"Harnwell Chemicals Corporation AE Alchemist, Inc Yana Chemodities Inc Glenwoods",1408487.97
SWANA MERCANTILE Inc.,1406500.0
CONSOLE MARKETING,1405700.0
NCN MARKETING,1403000.0
ROAM-MEDICA ENTERPRISES,1401794.8
TRIPLE-DOUBLE CONSTRUCTION AND SUPPLY,1401101.03
Sure Solve Services and Trading,1401000.0
D' CARPENTER RICE MILL,1400000.0
NKTI Free Shuttle Service Transpo,1397700.9000000001
CASAL STORE,1395200.0
DHAN CZAR MARKETING,1392440.0
Ellen's Agrivet Supplies,1385380.0
SRRN Trading,1385045.0
Globes Store or Gloria Rama,1384500.0
MYMY & TINTIN STORE,1383440.0
V-Tech Ventures,1382522.0
SUPPLY AND DELIVERY OF COVID RESPONSE-HYGIENIC HAND PAPER,1382500.0
VINCARE PHARMA,1380571.75
SAN ANTONIO DISTRIBUTION,1380500.0
Drake Marketing and Equipment Corp.,1379000.0
ROLANDO REYES JR FISH TRADING,1378850.0
Berovan Marketing Incorporated,1377756.0
RGM Arandia General Merchandise,1370472.65
RJR MARKETING,1369100.0
"STEFAN'S PHARMACEUTICALS, DRUGSTORE,DISTRIBUTOR & GEN. MERCHANDISE",1368380.0
ADTEMPCO,1366792.27
"HBI DIAGNOSTIKA, INC.",1364000.0
Las Vegas Marketing,1363923.0
Jamm's Office and School Supplies,1362513.0
INDRINAL FARMER'S MART,1361777.0
"PHIL PHARMA WEALTH, INC",1360000.0
Tejada-Ramos Dressed Chicken & Meatchop,1360000.0
I.M. Alivia's Supermart,1356600.0
ROBICON PEST CONTROL,1355170.0
LEON CULLEN'S TRADING,1353000.0
Mellmarr Enterprises,1352175.0
AGE-MPC,1350685.3
Loves Medical Equipment & Supplies,1350000.0
Davao Medworld Diagnostic Company,1349177.0
COGNOA INTERNATIONAL INC,1348500.0
SELLMARK STORE,1344000.0
SUNFLOWER DRIVE INN,1344000.0
KREMPLE VENTURES INC.,1340000.0
ONE TOP MEDICAL SYSTEMS RESOURCES,1335000.0
RHOLZE JONAH'S ENTERPRISES,1335000.0
LOURDES PHARMACY,1332062.0
"National Food Authority, Loakan Road, Baguio City",1331250.0
NEGROS MARKETING,1329000.0
PROCUREMENT SERVICE-DEPARTMENT OF BUDGET AND MANAGEMENT,1328290.24
3A RICE & CORN MILL,1327750.0
ASRT General Merchandise,1326534.0
Glory General Merchandise,1323068.7
MCJEB TRADING,1322875.0
JPMR PHARMA,1320519.5
"8ternity, Inc.",1313500.0
"Rainphil, Inc.",1310000.0
SALVAMED PHARMA DISTRIBUTION,1309435.0
"Medical Trends and Technologies, Inc.",1308618.8599999999
L-ZAY MEDICAL ENTERPRISES,1308100.0
TUMANAN CONSTRUCTION SUPPLY,1307832.0
Tri-Den Inc.,1306585.0
Zyre Pharmaceuticals Corporation,1305930.0
"TECHNOMED INTERNATIONAL, INC.",1305000.0
"AGRO-INDUSTRIAL COOPERATIVE OF MATAASNAKAHOY (AICOM), INC.",1304550.0
KAIRA-THOMAS RICE MILL,1300750.0
"MERIJR ENTERPRISES, INC.",1300000.0
"Rainphil,Inc.",1300000.0
Genruz Const. & Supply,1300000.0
Genruz Cons. & Supplies,1300000.0
NiÃ±o Karl Jay Trading,1300000.0
IDS MEDICAL SYSTEM PHIL.INC.,1299600.0
"Omnibus Bio-Medical Systems, Inc.",1299000.0
Mercogene Pharmacy and General Merchandise,1298880.0
ELEANOR MERCHANDISING,1298700.0
Fearjan Health Link Enterprises,1297830.0
MADULAO'S TRADING,1296081.38
Tina's Dried Fish and Eggs,1293870.0
BAGE RICE & CORN TRADER,1293750.0
MC-CHARLES MED TRADING,1292884.8
Three Brothers Rice Trading,1290000.0
Drake Marketing and Equipment Corporation,1290000.0
LOPUE'S MANDALAGAN CORPORATION,1285970.5
PNT TRADING AND GENERAL MERCHANDISE,1285900.0
Pharma Business Management Trading (PBM) Corp,1281880.0
EC PHARMA TRADING,1280880.0
MRL CYbertech Corporation,1277350.0
AZTECO CORPORATION,1274840.0
DTWOL ENTERPRISES,1270000.0
JUS AND KAYE GENERAL MERCHANDISE,1267661.5
JMJ SNACKHAUZ & CATERING SERVICES,1265550.0
Mar's Angel Gen. Merchandise,1262903.99
SACRED HEART SAVINGS COOPERATIVE,1261689.42
JSJ AGRO-VET MARKETING,1260000.0
GGG Palay & Rice Trading,1260000.0
Gracian General Merchant,1259960.0
Quantum Leap JMB MKTG Inc.,1257679.6
SJ Marketing,1252500.0
"ASSURANCE CONTROLS TECHNOLOGIES CO., INC.",1252000.0
STEPHEN STEVEN ENGINEERING SERVICES,1250068.12
Budget Transport Services,1250000.0
FERDINAND MULTIPURPOSE COOPERATIVE,1250000.0
R. A. Matias Construction and Developers,1250000.0
National Food Authority (NFA),1250000.0
RD RICE TRADING,1250000.0
MDIC TRADING,1249740.0
LRH ENTERPRISES,1249135.0
ATE GLEN'S RESTO AND CATERING SERVICES,1247400.0
GRACIAN GENERAL MERCHANT,1247395.0
SELLSIA INTERNATIONAL INC.,1247100.0
BUILDING RESOURCES MARKETING INC.,1245000.0
Jyramed Enterprises,1244073.37
"TEAMS SALES & PROMOTION, INC.",1243000.0
Kooperatiba ng Pamayanang Kristyano ng Mapaya (KPKM),1242934.0
JED JULIA GENERAL MERCHANDISE,1242886.0
LILYHILL TRADING,1242776.0
SK ENTERPRISES,1241237.0
SB STORE,1239539.36
Permaheal Enterprise,1236292.5
SGR Philippines Inc,1235000.0
DIP Store,1233358.0
Savepoint Plus Health & Wellness Consultancy Service,1232500.0
Vincent Sea Oil Station,1232400.0
P.I. Medical Supply,1232178.5
HORIZON TRANSPORT TOUR & RENT a CAR CORP.,1232000.0
HERMINIGILDO D. PACATANG,1222120.0
CGS Solid Aircon and Refrigeration Inc.,1221928.75
Ambos Camarines Agricultural Cooperative,1220000.0
"Panamed Philippines, Inc.",1219750.0
CISCO ENGINEERING INDUSTRIES,1216003.1400000001
Winegard Marketing,1215553.6099999999
MED ONE MEDICAL EQUIPMENT & SUPPLIES TRADING,1210800.0
JONECO TECH MARKETING CORP.,1210800.0
Desuasido Rice Mill,1210000.0
KHYN AND GYWN FASHION APPAREL,1209825.0
Jassian Enterprises,1207440.0
Delac Enterprise,1205000.0
Reymar Ramirez,1202500.0
Jonarell David,1202500.0
D' ANCHOR ENTERPRISES,1202183.5
PUREGOLD PRICE CLUB INC.,1202041.5
GANCHE Trading,1200000.0
O. Baldovi Rice Dealer,1200000.0
PERALES RICE MILL,1200000.0
JOAS TRADING,1200000.0
MURIX VEGETABLE AND SPICES VENDING,1200000.0
Triztan Jhaye's General Merchandise,1200000.0
"LIFELINE DIAGNOSTIC SUPPLIES, INC",1200000.0
Medix Depot,1199700.0
BSMA Trading,1196775.0
BEONE INDUSTRIES INC.,1196500.0
Genace Pharma Distributor,1196000.0
SEJAM General Enterprises,1193029.0
PROCUREMENT SERVICE - LEGAZPI CITY,1185408.0
Ensuremed Inc.,1185000.0
HOSPI CARE MEDICAL TRADING,1182045.0
"INFOBAHN COMMUNICATIONS, INC.",1180802.0
Iloilo Izeem Commercial,1180536.4
REJOHN ENTERPRISES,1180330.0
Zafire Distributors Inc,1180023.0
"COSTSAVER'S SUPERMARKET, INC.",1177501.75
"Fastlab Diagnostics & Medical Supplies,Rainphil Inc",1176875.0
MC FERRIN BIO AND MEDICAL SUPPLY,1175000.0
Tam's Kainan,1170200.0
RF COM ELECTRONICS,1170000.0
TCCR TRADING,1169600.0
TITANIUM PHARMA,1169400.0
Ej and Jy Wet Market & Enterprises,1167250.0
Necesario Store,1164950.0
3 ANGELS CONSTRUCTION SUPPLIES,1161580.0
Barrameda Rice and Corn Milling,1160000.0
BM CUSIPAG AGRICULTURAL SUPPLY,1156080.0
ABEEVAC Distributors,1155000.0
Eagle Pharmaceutical Product Distribution,1152000.0
MONGOL TRADING CORP.,1152000.0
Vishelee Marketing,1151500.0
"Molave Trading Inc.,",1150500.0
Base Line Pharma Corp.,1150390.0
"5J'S METAL CRAFT & GEN. MDSE., CO. LTD",1150000.0
McTycoon Marketing,1149250.0
PRINCEPAN CORPORATION,1149068.5
Medtex Corporation,1148425.0
DIAMED ENTERPRISE,1146846.0
"CT Link Sytems, Inc.",1146000.0
FCC SUPERMARKET,1145707.3599999999
Deyu Pharmaceutical,1140085.0
CSI WAREHOUSE CLUB INC.,1137135.0
"Gulayan, Anihan at Sakahan sa Kaunlaran-MPC",1135891.79
MINDANAO CONSTRUCTION SERVICES & LAND DEVELOPMENT CORPORATION,1134022.5
U-NET DISTRIBUTORS CORP.,1133125.0
Dayna Enterprises,1132620.0
Infoshare Management Systems,1130953.0
Tenedero's Rice Dealer & General Merchandise,1128000.0
Fast Autoworld Phils. Corporation,1125000.0
Ian Terry's General Merchandise,1125000.0
GOLDSCOPE ENTERPRISE,1124991.0
Radian Construction and Supply,1123320.0
ALRV Trading,1123025.0
ESCO PHILIPPINES INC.,1120000.0
JENJUSJEM Gen. Merchandise,1119800.0
JOMED GENERAL MERCHANDISE,1118242.0
SUNGOLD Commercial,1118020.0
PREMIER VENTURES,1113500.0
"DETOXICARE MOLECULAR DIAGNOSTICS LABORATORY, INC",1112800.0
Globels Store,1111000.0
Botika ng Bayan Sa Pinamalayan,1110000.0
Marlon Rochas,1110000.0
Jonathan Delgado,1110000.0
CAYAT PHARMACY,1107701.0
Siker Trading,1107683.37
Golden Three 168 Trading Inc.,1102912.0
MBB CONSTRUCTION & SUPPLY,1101259.44
CSP MARKETING AND PHARMACY,1100025.0
PALMA GOLDEN GRAINS RICE & CORN MILL,1100000.0
"GREGORIO R. CELESTIAL, SR.",1100000.0
CIRCLE K GAS STATION,1100000.0
DOCTORS CLINIC AND LABORATORY / MARIA CRISTINA TEOTICO,1100000.0
R and L Trading,1098200.0
Maricel's Catering Services,1097480.0
R.F.FLORES CONSTRUCTION,1094907.0
"PRINCE WAREHOUSE CLUB (MANDAUE), INC.,",1091358.35
Davao Oriental Seed Producers Coop,1086240.0
Davao Oriental Seeds Producers Cooperative(D0SEPCO),1086240.0
XYZ GROCERY,1086000.0
ALCEL CONSTRUCTION,1083375.0
EVER BLUE RICE MILL & GRAINS TRADING,1082500.0
JLL SUPERSTORE,1082500.0
"CENTURY PACIFIC FOOD , INC.",1082250.0
JUS & KAYE GENERAL MERCHANDISE,1081894.0
ZV FISHING AND CONSTRUCTION SUPPLIES,1080346.52
JGL Grains Trading,1078800.0
"B.BRAUN AVITUM PHILIPPINES, INC.",1077640.0
RCS Milling and Rice Trader,1076100.0
Danway Processing Corp.,1075488.0
SAN JUAN DJ PURITY TRADING INC.,1075000.0
SUNRAY'S BUILDERS AND CONSTRUCTION SUPPLIES,1073672.1
Jackpot Drug & General Merchandise,1073290.0
Roam-Medica Enterprises,1072614.0
KIM-KAT Enterprises,1070452.8
GOLDQUEST BIOTECHNOLOGIES INC.,1070000.0
ANB Pharmaceuticals,1068656.4
CHUMS PHARMA DISTRIBUTOR,1067763.0
LVM Food Supply,1067690.0
JKP2 Safety and Security Products,1065000.0
STS FAST FOODS AND CATERING SERVICES,1064880.0
GoodWill Shop- On Mart,1064660.82
RAV-A Pharmaceutical,1061592.0
"Corbridge Group Phils., Inc.",1061400.0
Panay Distribution Incorporation,1061001.04
LUZON QUICK SERVE TRADING CORP,1061000.0
Robustan Inc,1060000.0
BUILTECH SOLUTIONS,1059850.0
DIATECH LABORATORY SUPPLIES CO.,1059500.0
E. Cabanes Office Equipment & Supplies Trading,1053210.0
health Solutions Enterprises Inc,1050000.0
JOSEPH RICEMILL CORPORATION,1050000.0
Maribel Rice Store,1050000.0
SLB MERCHANDISE,1050000.0
RMAP Enterprises,1048905.0
M. DIAZ CURTAINS & SOFA COVERS,1048840.0
FOODSPHERE INCORPORATED,1048574.0
JHAYKAYE STORE,1047860.0
JN'J PHARMA & MEDICAL SUPPLIES - Tagbilaran City,1047773.5
Palaya Agriventures OPC,1047636.5
3S Dragon Marketing/ Seanar Shun Sy,1045000.0
TJ MARC SALES CORP.,1044288.0
Saint Joseph Agri-Marketing,1042500.0
ESPERANZA T. LEGASPI SARI-SARI STORE,1042000.0
CHOZ-A-MEDZ CORP.,1041896.0
"BEROVAN MARKETING, INC",1040000.0
Puregold Price Club Inc.,1038150.0
NFA Isabela Provincial Office,1035000.0
"Che Enterprises, Molo, Iloilo City",1032366.0
JOELITA C. GULMATICO,1032150.0
Rebmann Incorporated,1030835.0
SHOGUN MANAGEMENT & DEVELOPMENT CORPORATION,1030570.0
MCS Paper Supply & General Merchandise,1026015.0
ATRIK MARKETING,1026000.0
Gay Eatery and Catering Services,1026000.0
PI Medical Supply,1025418.5
TOLEDO RICE TRADING,1025000.0
KRESMAN BUYING PALAY,1025000.0
Southside Biomedical Sales and Services,1024000.0
KRYPTON INT'L RESOURCES & SERVICES,1022500.0
GMG Agri-Farm Products,1022500.0
Sasha Athena RTW Collections,1021815.0
Pink 24/7 Pharma,1020000.0
MEDCARE SUPPLIES,1020000.0
SEAMMED PHARMA,1020000.0
CAROL AND CAROL ANN STORE,1017450.0
Ram Food Products Incorporated,1016023.68
Dyna Care Medical Trading,1012750.0
BRIDGES ENTERPRISES,1011600.0
CPA Pharmacy,1011117.0
GREEN TRUST MEDICAL TRADING,1010000.0
Joel L. Mabalot Store,1010000.0
BLANZA FARM SUPPLY,1008182.0
Macare Medicals Inc.,1008000.0
JIREH & WILHELM MERCHANDISING & GEN. SVCS.,1008000.0
Daniel Store,1008000.0
"LIFECORE BIO INTEGRATIVE, INC.",1008000.0
NEAN'S PHARMACY,1007469.0
Melcheshoe Trading,1007120.0
Santa Maria Agrarian Reform Community (SMARCC),1006824.0
BIOTECHNICA Medical Enterprises,1005000.0
Bosh Megatrade and Services / Donna Masiglat,1004300.0
CHQ Trading,1003114.25
EVERJOY DIAGNOSTIC TRADING,1002250.0
Anne Rejoyce Trading,1001898.0
BDSCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES INC,1000000.0
GRUPO CLARIS MULTI-PURPOSE COOPERATIVE,1000000.0
ALVA'S FOOD PROCESSING,1000000.0
1000000,1000000.0
Laguna SeedGrowers Agriculture Cooperative,1000000.0
LINDE PHILIPPINES (SOUTH) INC.,1000000.0
KORONADAL AGRO MARKETING,1000000.0
Guillermo Palay Trading & Rice Milling,1000000.0
Northern Malubibit Farmers Irrigation Inc.,1000000.0
CEBU SURGICAL & MEDICAL ENTERPRISES,999996.0
JADRED DRUG STORE AND MEDICAL SUPPLIES,999980.0
DELA CRUZ RICE AND PALAY TRADING,999900.0
Salveci Enterprises Inc.,999760.0
DNJ PHARMA TRADERS,999750.0
B & E GENERAL MERCHANDISE,999680.0
EMOGEN ENTERPRISES,999680.0
R and J Rice Seller,999600.0
RSB MARKETING,999587.0
PHIL PHARMAWEALTH INC.,999500.0
Camarines Norte Seed Grower MPC,999375.0
HOLY INFANT DRY GOODS STORE,999244.0
Leo De Villa,999000.0
Kleangram Manufacturing Corporation,998016.0
Kleangram Manufacturing Corp,998016.0
D'BEAM GENERAL MERCHANDISE,997825.0
D'BEAM GENERAL MDSE. CORP.,997825.0
THYMED ENTERPRISES,997038.0
JOSEPHINE MORENO ENTERPRISES,995930.0
SHAN CONSTRUCTION AND ENTERPRISES,995625.0
M.A.S MURADITO INC.,995389.12
J. B. Felipe Construction,994523.21
Orlamera Corporation,994500.0
NINGNANG FOOD SERVICE,994450.0
RI Basilio Retail / Rosemarie B. Ituralde,993976.5
LOT 9 GEN. MDSE,993847.5
Metro Ipil Centrum,993645.0
"Surgico Phils., INC.",993500.0
LYR MARKETING CORPORATION,993000.0
Zuelling Pharma Inc,991200.0
Ellebasy Medicale Trading,990000.0
"Zomedel Gas Center and General Merchandise, Inc.",990000.0
MEDIMAX CORPORATION,986900.0
JASMEDIN TECHNOLOGY INC.,985137.0
"Wireless Link Technologies, Inc.",984380.0
PEST SCIENCE CORPORATION,984000.0
G and Z Pharmacy,982300.0
DUBC CONSTRUCTION CORPORATION,980000.0
Bounty Agro Ventures Incorporated,980000.0
Shasha's Construction & Supplies,979913.13
RUSSEL JOEY GENERAL MERCHANDISE,978775.0
T.O.P. SEVENHUNDRED TRADING,978000.0
JBM TRADING,975510.0
TWO SEVEN FOOD STUFF CATERING SERVICE,975000.0
Respicare Enterprises Inc.,975000.0
Mina De Oro Agrarian Reform Beneficiaries Multi-Purpose Cooperative (MAREBEMCO),974554.0
XYZ GEN. MDSE.,974436.0
"BIOSITE MEDICAL INSTRUMENTS, INC.",971500.0
EVO BUILDERS,971318.85
DELTA DISTRIBUTION CORPORATION,970517.5900000001
Drake Marketing and Equipment Corp,970000.0
MFR Medical Equipment and Supply,970000.0
DT TRADING,969000.0
ROM PHARMA DISTRIBUTOR,966850.0
UNIVERSAL AGRIVET SUPPLY,966000.0
NEW BOTICA CONCEPCION INC.,963118.0
Skyhawk Marketing and General Merchandise,962542.0
CYBER LINK COMPU SALES,960160.0
SOBRIX TRADING AND GENERAL MERCHANDISE,960000.0
"CENTERPOINT SALES & TRADING, INC.",960000.0
RITEMEAT MARKETING,959500.0
KS Distribution Incorporated,957510.4
Cher Enterprises Incorporated,957000.0
CAMBERWELL CONSTRUCTION AND SUPPLIES,956739.0
CURAMED PHARMACY,956085.5
Zuellig Pharma,955605.0
Kel'z Pharmaceuticals,955455.0
MA CONSTRUCTION AND SUPPLY,954960.0
HUGO RICE STORES,952000.0
NAFC-DA Multi Purpose Cooperative,951600.0
NAFC-DA MULTI-PURPOSE COOPERATIVE (NADAMCO),951600.0
"DYANMED HEALTHCARE, INC.",950000.0
PMR TRADING,950000.0
FIVE-M GENERAL MERCHANDISE,950000.0
"StatMed Pharmaceutical, Inc.",950000.0
LITTLE LEMON CHILDREN'S WEAR HOUSE,949900.0
SV BLUE SKY PHARMA,949200.0
Caracol Store,949150.0
MEG ENterprise,949000.0
PHARMA-MEDIKA PHARMACEUTICALS,948180.0
TIONGSAN HARRISON DEPT. STORE,947871.45
JJC IN PRINTS,947090.0
NATH'S GEN. MDSE.,945000.0
FARMACIA NORHIZA,944792.0
"RADIO MINDANAO NETWORK, INC.",944000.0
NCN Marketing,943500.0
OLT Ventures,943270.0
R.L. Colico Construction,943196.55
"Baliwag Transit, Inc.",943000.0
Todco's General Merchandise,942340.0
"Asia Pacific Medical and Diagnostics, Inc.",942200.0
CHICKEN ESSENTIALS PH. INC.,941580.0
BIOTECHNICA Medical Supplies,937500.0
THY GRACE MEDICAL SUPPLY AND SERVICES,935750.0
MAGIC CLUB INC.,935158.48
Damar Rice Store,934250.0
PABSVORITO FOOD AND CATERING SERVICES,933000.0
JB PHARMA & TRADE CENTER,932600.0
Pomona Pharmaceutical Distribution,930000.0
ZEST-O CORPORATION,928800.0
SHANEL AND LOUISE ENTERPRISES,928750.0
JOSMEF ENTERRISES,928000.0
STY BTAC-AGRO INDUSTRIAL TRADING,925880.0
Pacifica Agrivet Supplies Inc,925116.5
RainPhil Inc.,925000.0
HI5 ENTERPRISES,925000.0
PRO-LIFE HEALTH CARE SYSTEM CORPORATION,924552.0
AXL FOOD SERVICES,922500.0
LDA AGRI MARKETING,920792.0
