Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
Windows of Heaven Construction & Amp; Services,0.71,10.0
Station 88 Diner,0.7108,4.666666666666667
Ten Fifteen Enterprises & General Merchandise,0.7125,5.0
Joneco Tech Marketing Corporation,0.714,7.0
Department of Budget and Management - Procurement Service,0.71462,31.0
Karlie's Kitchen,0.7152,32.0
Joram Marketing,0.72,31.0
"JAMARLI, INC.",0.72,31.0
"San Isidro Glass, Aluminum and Steel Works",0.72,10.0
Moolk Creamery Corporation,0.72,22.0
"Que Kang Hardware, Inc.",0.7224,43.0
PROCUREMENT SERVICE-DBM,0.7232992,3.0
MASTER CONSTRUCTION AND ELECTRICAL SUPPLY,0.723985,8.4
PRO EMMANUEL SOUTHERN CORPORATION,0.7244375,6.0
SUNCON TRADING,0.725,19.0
JASSEN HARRIS INDUSTRIES CORP.,0.726,18.0
Philippine Nutri-Foods Corporation,0.72657,39.0
Nch Philippines Inc,0.7285375999999999,63.0
LSC SIBUGAY MARKETING CO.,0.7295,3.0
K2 Drug Group Inc.,0.7302,20.25
NEW GINZU MERCHANDISING INC.,0.73078,10.0
CMA1 Marketing,0.732,12.0
Hannah's Department Store,0.7338,6.0
MotorWorld Supershops Inc.,0.734525,2.6666666666666665
NANAY NHEL'S LUTONG BAHAY,0.735,7.0
GEORGE U. ROSETE REPAIR SHOP,0.735,8.0
PACIFIC V.M. NORTE CLUSTER HOG RAISING ASSOCIATION,0.73932,15.0
Javier Marketing,0.74,8.0
NANCY & MELO GENERAL MERCHANDISE,0.74,1.5
COSMIC TECH NOLOGIES INCORPORATED,0.742,7.0
Ramvels Home Furnishing Shop,0.742,7.0
"Thea Computer Sales, Services & Enterprises",0.742,7.0
Ramvel's Home Furnishing SHop,0.742,7.0
MIMBO BYTES GENERAL MERCHANDIZING,0.742,8.25
Signs of Success General Merchandise,0.743,19.0
BNAR ENTERPRISES,0.7444,9.0
ALDRIN F. DUMPIT,0.745,1.0
HANDY PRINTING AND PUBLISHING,0.74589,1.0
CROMWELL MARKETING,0.74908,30.0
EARM TRADING,0.7497,2.0
CUTWELL PRECISION ENTERPRISES,0.74975,13.0
ACT Care Pharmacy,0.74998,3.0
Care4One Enterprise,0.75,31.0
Badfox Trading,0.75,10.0
DHCI CYCLEHAUS,0.75,15.0
Ercyn Enterprises,0.75,1.0
Ryzel Glass and Aluminum Services,0.75,8.0
DILLA'S FOODHAUS AND CATERING SERVICES,0.75,25.0
Fe J. Millena,0.75,7.0
AV GENERAL MERCHANDISE,0.75,2.0
Ruben T. Sinuto,0.75,7.0
MACUPA Multi Purpose Cooperative,0.75,15.0
DREAM FAVOR TRAVEL AND TOURS,0.75,54.0
MND Medical Diagnostic Supplies,0.7505,1.0
JOHANN MATTHEW CONTINUOUS INK AND TRADING,0.75275,10.0
HBC Enterprises,0.7533,7.0
RCS Supermarket,0.754,7.0
FERDINAND TONG-AN,0.754,17.0
PEDELMAR CONSTRUCTION SUPPLY,0.75425,7.0
ECG DYNAMIC MEDICAL SYSTEM INC.,0.755,31.0
ILAGAN GOOD LUCK TRADING,0.7558,13.0
Jen bulls Catering Services,0.756,15.0
"AGRICOM VISAYAS, INC.",0.756,6.0
J & S Enterprises,0.7594,7.0
DONBE STORE,0.76,3.0
ETHAN HARDWARE,0.76497,9.0
RSLG PHARMA AND MEDICAL SUPPLIES DISTRIBUTION,0.765,10.0
G STAR MARKETING & SUPPLIES,0.76526,19.0
"Qualifirst Health, Inc",0.768,365.0
Flimco Enterprises,0.7692,9.0
BIANA TINO,0.77,3.0
ROYAL Catering Services,0.77,5.0
SJSA General Merchandise,0.771015,7.0
Laxmi Automtive Services and Parts,0.7749,6.0
Blue Dragon Pharmaceutical Trading,0.775,43.0
"RainPhil, Inc.",0.775,36.0
RED ROCK MERCHANDISE,0.776,20.0
East Lane Corporation,0.77817,365.0
C.W Domingo Enterprises,0.78,16.0
Anisra Marketing,0.78,7.0
"Baao Las Estrellas, Inc.",0.78,11.0
REYBENJEN 23 TRADING,0.78,4.0
KUSINA SA PLAZA,0.78,16.0
EK United Premier Inc.,0.78235,365.0
"Procurement Service, Depot-Bacolod",0.784,15.0
SIMSU TRADING,0.784,10.0
"â‚±78,400.00",0.784,7.0
JM Villaruz SPC Medical Supplies,0.78443,13.0
"THEOS MARKETING & DIST., INC.",0.785,17.0
3E DRUG,0.786,14.0
JJ ENTERPRISES,0.786,20.0
"PUREGOLD PRICE CLUB, INC",0.7870725,1.5
MOGOWOMPUCO,0.789,13.0
Arsvico Construction and Development Corp.,0.79,6.0
K-I SOLUTIONS GENERAL MERCHANDISE,0.79,11.0
Hi Five Enterprises,0.7933,8.0
FLORES STORE,0.794325,4.0
Rebmann Inc.,0.795,7.0
R.E. CANDONGO GENERAL MERCHANDISE,0.799656,6.0
Saviour MEdevices Inc.,0.8,92.0
Mobile Lamp,0.8,30.0
Roderics Enterprise,0.8,3.0
EULOGIO ROSARIO,0.8,10.0
RC LUCKY GRAPHICS,0.8,5.0
Maridan Industries Incorporated,0.8,14.0
Tarlac MAc Enterprises Inc,0.8,14.0
S.E. BALANI GENERAL MERCHANDISE,0.8025,3.0
REMEGIO PAMO,0.8032710000000001,1.0
New Master Square Supermarket,0.8046,5.0
YOUMED Marketing,0.805,29.0
NORTHEAST CORNER TRADING ONLINE STORE,0.805,1.0
CUISON CONSUMER GOODS TRADING,0.80982,7.0
"Emcor, Inc.",0.80995,4.333333333333333
FABRIMETRICS PHILIPPINES INCORPORATED,0.81,5.0
SOUNDMIX PARTY MOBILE,0.81,29.0
La Vista Place,0.81,1.0
Soundmix Party Mobile,0.81,30.0
Glid's Restaurant,0.81,1.0
Henry Import and Export Corporation,0.81,42.0
LSC SIBUGAY MARKETING COMPANY,0.8132,7.0
UYMATIAO TRADING CORP.,0.8175,5.0
CMVILL TRADING,0.8177,61.0
VMED Medical Company,0.8184,365.0
RANDY C. VALDE,0.8185,20.0
LUCENA MEDICAL SUPPLY,0.8190523000000001,1.0
"MERALCO ENERGY, INC.",0.8211839999999999,6.0
Aklan United Sales,0.822,9.0
PACIFICA AGRIVET SUPPLIES,0.82392,36.0
ANGELITUD GASOLINE STATION,0.8260789999999999,7.0
UYMATIAO TRADING CORPORATION,0.827,18.5
BHOB GAS MARKETING,0.8271,3.0
"EM, DESIGN, CONSTRUCTION AND GENERAL MERCHANDISE",0.83,31.0
A.RISHON ENTERPRISES,0.831522,5.0
RAL Construction Supply & Gen. Mdse.,0.83285,3.0
JV Graphics,0.835,7.0
DGTE. UPHOLSTERY & TEXTILE CENTER,0.8352,3.0
3J Mediccal Supplies,0.838,14.0
"FAS DIAGNOSTIC GROUP, INC",0.84,10.0
BOHOL CHRONICLE RADIO CORP./DYRD,0.84,161.0
"Fresenius Medical Care Phils., Inc.",0.84,3.0
Sapphire Pharmaceutical Corp.,0.8428,7.0
SOTERA PHARMA INCORPORATED,0.845,5.0
"TOPHOME BUILDERS, INC.",0.8464,10.666666666666666
WBA GASOLINE STATION,0.8485063,1.0
Calitan Multi-purpose Cooperative,0.84968,5.0
3rd Triune-Venture Business Corporation,0.85,3.0
JAPRI'S GENERAL MERCHANDISE,0.85,5.0
SQJR Trading,0.852,3.0
Baliis Farmers and Community Association (BFCA),0.855,14.5
Nantes Store,0.85728,7.666666666666667
Malyka International Trading Corp.,0.858,5.0
PROWEALTH INDUSTRIES,0.86,10.0
Mactan International Airport Shuttle Service MPC (MIASSCO),0.86,24.666666666666668
MANDAUE FOAM INDUSTRIES INCORPORATED,0.8605,18.0
NEW BOMBAY SILKSTORE,0.86085,3.25
QUASAR TRADING,0.8619,3.0
CHEMLINE SCIENTIFIC CORPORATION,0.864,28.0
ZYMED Medical Distributors,0.8645,21.0
Merand Pharmacy & General Merchandise,0.866,10.0
JAYYAM ENTERPRISES,0.87,9.0
EMERLYN TOLENTINO GENERAL MERCHANDISE,0.8734,6.0
Farmacia Salvo,0.8736,7.0
"Isomedical Ventures, Inc.",0.8761,15.0
berovan Marketing Inc,0.88,29.0
Cle Bio and Medical Supply,0.88,38.0
"Water Mart Supermarket, Inc.",0.88,3.0
243 General Merchandise,0.88,2.0
GT MARKETS,0.88355,1.0
ARTESIAN INN,0.885,21.666666666666668
ABZKO Construction Corporation,0.88571,15.0
Med Care Supplies,0.8864,16.0
OXIAIRE GAS ENTERPRISES,0.8894,17.0
Jhun & Mhel Bigasan,0.89,24.0
UMAYAM STORE AND GIFT SHOP,0.892206,10.0
SOUTSIDE BIOMEDICAL SALES & SERVICES CO. LTD,0.89328,33.0
"ROCHE (PHILIPPINES), INC.",0.893452,14.0
JAKE F. GABUTE,0.895,21.0
Charebian Bag Maker,0.9,31.0
ABM-A Builder Marketing,0.9,3.0
BD SCIENTIA MEDICAL & DIAGNOSTIC SUPPLIES,0.9,9.0
MANG JO TRADING,0.9,30.0
"SCI WARREN, INC.",0.9,3.0
BTL MEDICAL TECHNOLOCIES,0.9,28.0
TMSN MARKETING,0.9005,31.0
Che Enterprise,0.9017,2.0
B-Valm Construction & Supply,0.9065,14.5
MDST Pharma.,0.90864,14.0
Orchid's Bookstore Branch,0.91,15.0
RCS MILLING AND RICE TRADER,0.91,1.0
Viva Sales Enterprises,0.9103,7.0
OROGEM'S TRADING,0.91068,31.0
"Local Government of Cabugao, Ilocos Sur",0.91279,5.0
DUMAGUETE UPHOLSTREY AND TEXTILE CENTER,0.913,7.0
MANILA MERCHANDISING,0.9145,30.0
Bukas Palad General Merchandise,0.9171,6.0
Doralex Bugasan,0.9245,14.0
"Primesolv Technologies Co,Cred General Trading",0.9245,16.0
Mega Mura General Merchandise,0.92462,11.4
Louella B. Raymundo,0.925024,4.0
IDS Medical System,0.928,30.0
Cleanway Environmental Management Solutions Inc.,0.9289728,7.0
k-I SOLUTIONS GENERAL MERCHANDISE,0.932,11.0
Sanvicare Medical Supply,0.935,12.0
Fabrication/installation of admitting booth (4 units),0.936,29.0
11 FTC ENTERPRISES INCORPORATED,0.9366,16.0
Esperanza Petron Fuel Station,0.9370824000000001,122.0
RH Kemp Enterprises,0.9396,31.0
ELIZABETH BESARA,0.94,4.0
Emerald Hardware and General Merchandise,0.9462,7.0
LINDA'S DEPARTMENT STORE,0.9472,7.0
Arthnor Variety Store,0.95,27.0
Immunodiagnostic Biomedical Laboratory Supplies,0.95,9.0
KONSULTA MEDICA AND DIAGNOSTIC CENTER,0.95,56.0
JLC Cabletow Corp.,0.95,7.0
VYH CONSTRUCTION SERVICES & GENERAL MERCHANDISE,0.95,6.0
MDC Mortel Medical Equipment & Supplies Trading,0.9511,31.0
CHRIS RICE STORE,0.952,9.0
E.S LACEDA ENTERPRISES,0.9526,10.0
Procurement Service Depot VII,0.95414,30.5
JP/JK TRADING,0.95425,14.0
ECO-HYGIENE INSTITUTIONAL SALES CORP.,0.9544,13.0
MAYOL EATERY,0.96,15.0
MJCL CCTV Installation & Security Prodcut,0.96,29.0
AJ Agustin Enterprise Inc.,0.9618,11.0
SOBIMED PHARMACEUTICALS,0.9625,1.0
UK Pharmaceutical Distributors,0.966,14.0
CB General Enterprises,0.967,6.0
J AND J GASOLINE STATION,0.9677467999999999,8.0
DB Access Digital Printing,0.9688,7.5
STR INTERNATIONAL SERVICES CORP.,0.9705,14.0
Magic Club Incorporated,0.97059,9.0
Jerry Saludares,0.975,4.0
"DAVAO GENERAL HARDWARE CO. (SAH & SONS, INC.)",0.975,15.0
Windswept General Merchandise,0.975,8.0
LESINC SCIENTIFIC EQUIPMENT INC.,0.975,8.0
DOBS EVENTS PLACE,0.976,16.0
Blueice Inc.,0.9768,54.0
"NEGROS CV FREEDOM MARKETING, INC.",0.979,31.0
JFKRG Upgrade Business Solution Corp,0.98,2.0
VIVEN MARKETING,0.98085,14.5
KARLDONICS General Mdse.,0.984,5.0
Narte's Eatery,0.984,23.0
Laaurenice Enterprises,0.98555,33.0
IRLANDEZ HOLLOWBLOCKS AND HARDWARE,0.9865360000000001,7.0
GG & I OIL AND LUBRICANTS TRADING,0.98703,14.0
Chem-Vest Comm. Trading,0.99,36.0
Dipolog Saver's Mart,0.99,32.0
WELLNESS PRO,0.99,6.0
VILMA APILADO,0.993,30.0
"Zoom Video Communications, Inc.",0.9932231,214.0
RECAMADAS STORE,0.995,5.5
CBA ENTERPRISES,0.9951,31.0
B.N.B GASOLINE STATION,0.9959992,17.0
JHG TRADING INC.,0.996,11.0
Gold n' Green Enterprise,0.99603,8.0
ASCENDANT GLOBAL INC,0.998,5.0
Chiong LPG Marketing,0.999,7.0
Scientific Biotech Specialties Inc.,0.999,240.0
"4J's Tech. Equipment, Gadget and General Merchandise",0.999,4.0
1018 Hardware,0.99989,6.0
JESSEDELLE GENERAL MERCHANDISE,0.9999439999999999,1.0
Ruster Marketing,0.99995,26.0
Ariel V. Ramirez,1.0,7.0
MARESMA Multi-Purpose Cooperative,1.0,1.0
"ZAMBOANGA MEDIKA INTEGRATED INDUSTRIES, INC.",1.0,14.0
Asia Electric Technical Marketing Corporation,1.0,1.0
PAULUTO HOME-COOKED EVENT CATERING SERVICES,1.0,9.0
"ALOG & COMPANY, INCORPORATED",1.0,15.0
"Theos Marketing & Distributorship, Inc.",1.0,19.0
Valladolid Lumber Enterprises,1.0,15.0
CABEL GENERAL MERCHANDISE,1.0,7.0
DND88 ENTERPRISE,1.0,7.0
SOUTHERN ILOILO AREA MULTI-PURPOSE COOPERATIVE,1.0,11.0
ALL ABOUT HEALTH MARKETING,1.004,10.0
RF BUILDERS AND SUPPLY,1.0065,3.0
A T Z CATERING SERVICES,1.0072,16.0
Eastlane Corp,1.00728,30.0
F and N ENTERPRISES AND GENERAL MERCHANDIZE,1.008,7.0
VARIOUS SEAMSTRESS/TAILOR/DRESSMAKER,1.008,31.0
"ACG BUILDERS CENTRE, INC.",1.0147,7.0
EMCOR KIDAPAWAN STORE,1.0151,42.0
DAVILLE PHARMACEUTICAL COMPANY,1.02,7.0
Zomedel Gas Center & Gen. Mdse,1.02,2.0
RJS 25 Trading and General Merchandise,1.02,7.0
QA Turrecha Physical Therapy and Medical Supplies,1.0209,13.0
"LTS Retail Specialists, Inc.",1.02645,2.0
KATRINKA'S KITCHEN,1.0272,16.0
PRINCEMARK DRUGMARK DISTRIBUTOR INC.,1.02975,37.0
TRIPLE A UNIVERSAL SAFETY & INDUSTRIAL SUPPLY,1.03,11.0
RAYMOND & ANALOU GENERAL MERCHANDISE,1.0305,20.0
VM MEDICAL SUPPLY,1.0325,14.0
"Endure Medical, Imc.",1.0326,5.0
Cuts and Rise General Merchandise,1.035,4.0
CONTACTPOINT INC.,1.0395,4.0
Arly Trading & Construction Supply,1.039675,14.0
NANDING EATERY,1.04,16.0
Ignacio Rebecca Gen. Merchant,1.04,7.0
HOSPICARE MEDICAL SUPPLIES CORPORATION,1.04655,28.0
MARS FURNITURE SHOWROOM,1.04781,34.0
VARIANCE TRADING CORP.,1.0485,15.0
FAS Trucking and Forwarding Services,1.05,2.0
ROLANDO G. GARCIANO,1.05,7.0
SONRISE MULTIPURPOSE COOPERATIVE,1.05,10.0
CHANZ MOTORS & GENERAL MERCHANDISE,1.05,25.0
GABI GROUP INC.,1.05,24.0
CTA LIQUID ANALYSIS RESOURCES,1.05,14.0
EXCELIFE MED TRADING,1.05,6.0
"HIDOK,INC",1.052,7.0
JJ UPHOLSTERY SHOP,1.05345,7.0
M3C Trading,1.056,4.0
ISLAND SUPERMARKET,1.056063,1.0
SIMON DESIGNS LIFESTYLE AND TRAVEL,1.06,30.0
77CSV CORPORTATION,1.060325,1.0
Mr. Rexon Maxilom,1.0615,36.0
GILLEAN TRADING,1.062,23.0
GINA BORGUETA,1.0650439999999999,30.0
Sybico Petron Station,1.0669985,7.0
JRL Supply Center,1.07038,11.666666666666666
"Esco Unified Solutions, Inc.",1.0704645,365.0
PRESTIGE MEDICAL SUPPLY,1.073,2.0
WR and C Duty Free Corp.,1.0733,1.0
WLC Drugstore,1.0746,4.0
Bioscopic Diagnostic Laboratory,1.0775,7.0
Double Eighteen Marketing,1.0785,7.0
EAST TRADER CONSTRUCTION & SUPPLY,1.0834,9.0
GENRUZ CONST. AND SUPPLY,1.086,1.0
"New Anos Trading, Ipil, Zamboanga Sibugay",1.0875,3.0
Bauertek Corporation,1.08864,10.0
BETHEL'S KARAN-AN AND CATERING SERVICES,1.089,14.0
RSJ 31 Trading,1.0925,5.0
DAVAST PHARMACEUTICAL PRODUCT DISTRIBUTION,1.0925,5.0
UNI-ART SUPPLY,1.094,10.5
DIPOLOG SAVER'S MART,1.09705,20.0
GHS Food Stall,1.0977,18.0
RNCJ Design and Print,1.098,11.5
Fema's Restaurant,1.09871,18.5
VITA J 88,1.1,11.0
S.K.NATRAJ CORPORATION,1.1,1.0
PALAWAN INDUSTRIAL GASES SUPPLY,1.1,20.0
"IDS MEDICAL SYSTEMS PHILIPPINES, INC.",1.1,8.0
Ariel And Roda Store,1.1,4.0
KING NJP GENERAL MDSE.,1.1,29.0
NUEVA SEGOVIA CONSORTIUM OF COOPERATIVES,1.1,49.0
Mimosa Citycapes Inc.,1.1,1.0
"Carewell Bio-Medical Systems, Co.",1.1,14.0
META GENERAL MERCHANDISE,1.10332,14.0
Rayos Trading,1.10433,4.0
NUMANCIA PETRON'S STOP SHOP,1.1058139999999999,29.333333333333332
VERALIZ MARKETING,1.107,14.0
Cleanallogy Laundry and Cleaning Services,1.11947,75.0
Intermed Pharma and Medical,1.12,21.0
WELD POWERTOOLS INDUSTRIAL MACHINERY CORP,1.12,30.0
BNO MEDLAB TRADING,1.1209,8.0
ZAR CATERING SERVICES,1.125,14.0
"BEROVAN MARKETING,INC",1.125,2.0
Modern Scribe Printing Solutions Inc.,1.126846,14.0
OMIE ALCANTARA BIGASAN STORE,1.1275,3.0
Qualitywise Tiles and Home Accessories Co.,1.1278116,2.5
J.M Lacorte Construction,1.12925,15.0
ALDA DOLTEO,1.13,3.0
EYE CONTACT OPTICAL MEDICAL SUPPLY AND GEN. MDSE.,1.13,4.0
MICAGAS INDUSTRIAL CORPORATION,1.1375,61.0
CHUYTE ORDOÃ‘EZ STORE,1.13885,3.5
PHARMASTAR INT'L. TRADING CORP.,1.14,10.0
LUBIEL TRADING,1.143,7.0
MEDIX JR. MARKETING,1.1436,3.0
Mokoy Store,1.144,14.0
MAGOFEM MPC,1.14555,12.222222222222221
Pecson Meat Stall/ Carmelita Pecson,1.14583,14.0
MRL Cybertec Corporation,1.1485,11.0
Belman Laboratories,1.15,21.0
Twis Trading,1.153175,6.0
SOUTH STAR DRUG INC,1.153348,9.0
HRRO8MRS17 TRADING CORP.,1.1537,45.0
MDST Pharma,1.1542036,9.0
Solaire Service Station,1.158225,15.0
MAPORONG FARMERS ASSOCIATION INC.,1.159,32.0
Parik-CARP Multi-Purpose Cooperative,1.1635,7.0
One Nine One Trading,1.1648,12.0
Super Lion Trading,1.17,14.0
Levins International Corporation,1.1737,15.0
"CHEMTRUST GLOBAL MARKET, INC.",1.1776,8.0
RCG CITY HOME APPLIANCE & FURNITURE CENTER,1.17784,30.0
M7J CONSTRUCTION SUPPLY,1.17885,29.0
Villahermosa Shopper's Mart,1.18612,8.0
Philippine Duplicators,1.1913,7.0
"IDS MEDICAL SYSTEMS PHILIPPINES, INC",1.19494,4.0
"Biocare Health Resources, Inc.",1.19992,45.0
WILLIAM L. LORENZO,1.2,10.0
R-APC Enterprise,1.2,11.0
Elpidio Siudad,1.2,6.0
"EURO-MED LAB PHILS., INC>",1.2,21.0
DELCA SYSTEMS TECHNOLOGY,1.2,6.0
CENTER POINT SALES AND TRADING INC,1.204,11.0
OXFORD DISTRIBUTIONS INC.,1.205,15.0
OXFORD DISTRIBUTION INC.,1.205,5.0
Euro-Med Laboratories Philippines Inc,1.206,30.0
Batangas Dairy Farm Tech. Inc.,1.21,21.0
Murex Diagnostic Products Specialist,1.2156874,2.0
JEM & FERDS GE. MERCHANDIZE,1.22,2.0
JONIK TRADING & CONSTRUCTION,1.2201,6.0
CITIHARDWARE DUMAGUETE,1.2228305,3.0
GE GENERAL MERCHANDISE,1.2237,15.0
ST. DANIEL OF PADUA PHARMACY,1.22403,10.0
Laxmi Automotive Services and Parts,1.2244,5.666666666666667
Elmer Pagunsan,1.225,14.0
LILEI'S CATERING SERVICES,1.2276,5.0
NICODEMUS-NIC EXCLUSIVE APPAREL,1.22824,3.0
AGF Elitgroup Distribution Inc.,1.23697,57.0
Escada Medical Supply,1.24,4.75
New Tuguegarao Bombay Bazaar,1.24132,11.5
Tria Ricemill,1.246,6.0
LA SUERTE MEGA WAREHOUSE,1.2467857,3.0
MULTIHEALTH SOLUTION ENTERPRISES,1.248,15.0
SCPD Printing Services,1.25,10.0
ASAF Angelie's Tailoring Shop,1.25,1.0
Rodolfo P. Montaniel,1.25,7.0
N.D. Delos Reyes Enterprises,1.25,7.0
Holiday Inn Express Hotel,1.251,3.0
L.LIM ENTERPRISES,1.26,6.0
CAC HOTEL MANAGEMENT INC.,1.26,17.0
DINGLE MULTI-PURPOSE COOPERATIVE,1.26,3.0
"NEGROS GT GROUP, INC.",1.26,10.0
VERONALDO'S FARM CORP.,1.26,35.0
JERRY ANN MOLINA,1.26,48.0
Tri Peak Ads Designs and Concepts,1.2675539999999998,12.0
"WILCON DEPOT, INC",1.2685,9.0
TUMBAG I BUCAL IRRIGATORS ASSOCIATION (TIBIA),1.2688,7.0
Reygeric Feeds and Rice Retailing,1.2719616,4.0
Santa Maria Agrarian Reform Community Cooperative (SMARCC),1.272,17.0
Rhyanna'z Food Hub,1.272,7.0
RG FOODS & GENERAL MERCHANDISE,1.272,3.0
BICOL FOOD DELIGHTS CATERING SERVICES,1.2725,14.0
BJ2 FOODS CORPORATION,1.274,6.0
SAGADIAN TOURIST TRANSPORT COOPERATIVE,1.275,2.5
Virac Junction Hardware,1.277545,8.0
MIKKO'S AGRICULTURAL & POULTRY SUPPLY,1.27908,21.0
JOHNREY RICARDO,1.28,3.0
ELLA L. DEPAYNOS,1.28,4.0
COLENT MARKETING PHILS.,1.2813080000000001,6.0
ARC NAGUILIAN PETRON STATION,1.2860711999999999,26.0
ARMODE AVERTISEMENT MARKETING,1.288,1.0
"HLH Marketing, Inc.",1.288,60.0
VIBO MOTOR PARTS,1.28824,7.0
Happy Med Health & Wellness,1.288485,7.0
Medifherv Lifescience Diagnostic Supplies,1.29,100.0
FLORDELIZ PRINTING SERVICES,1.2912176,1.0
Asian Safety Products and General Merchandise,1.292,7.0
"CAPITOL MILLING COMPANY, INC.",1.29412,9.0
F.E.G. GENERAL MERCHANDISE,1.295,15.0
INFOWORX INC,1.29975,2.0
"CE-LOGIC, INC.",1.3,14.0
KCC MALL DE ZAMBOANGA,1.3,9.0
LUZON QUICK-SERVE TRADING CORP.,1.3,13.0
KDV ENTERPRISES,1.3,7.0
"Golden Bat (Far East), Inc.",1.30059,365.0
IMMUNODIAGNOSTIC BIOMEDICAL LABORATORY SUPPLIES (IMBIOLAB),1.3025,3.0
Unilab Inc,1.306,30.0
Garden Party Venue and Suites,1.308,7.333333333333333
"INTERNATIONAL CHEMICAL INDUSTRIES, INC.",1.3082,30.0
IIC ELECTRICAL HARDWARE CONSTRUCTION SUPPLIES,1.309127,6.0
"CME MEBDIO MARKETING, INC.",1.315,7.0
LINCKT ENTERPRISES,1.32,30.0
EJB Trapal Center,1.32,11.0
I.O.S Marketing Corporation,1.32,11.0
Lausan's Store,1.32005,6.0
SOUTHSIDE BIOMEDICAL SALES & SERVICES CO. LTD,1.32226,33.0
Bleest MPC,1.328,29.0
HARDY MAKETING ENTERPRISES,1.329044,2.0
MULADBUCAD SNALL WATERS IRRIGATORS SYSTEM ASSOCIATION.,1.33,32.0
THREE A AND K FOOD HOUSE,1.331,11.0
GT Markets Corporation,1.33155,5.666666666666667
"Almar's General Mdse., Syldondale Variety Store, and Roadside General Mdse",1.33525,7.0
"La Trinidad MJ Traders, Inc.",1.33614,15.0
Medical Test Systems Inc.,1.34124,365.0
be,1.3465,14.0
JOEL'S LECHON MANOK,1.35,5.0
rainphil inc,1.35,8.0
HEBBORN ANALYTICS INCORPORATED,1.3525,30.0
Hopps Marketing Inc.,1.35265,14.4
JMT Biomed Tech Medical Services and Supply,1.353,30.333333333333332
GABRIELâ€™S CATERING AND SERVICES,1.353225,25.0
Manolo Magpantay Eatery,1.355,14.0
GOLDEN WINGS TRADING,1.3595,15.0
"EL GRANDE MEDIKO, INC.",1.3613,27.0
OGGASIR CORPORATION,1.36288,3.0
"Medisafe Philippines, Inc.",1.3632,4.0
Shell Station Tabuk Branch,1.36404,7.0
COBELLIAM CORP.,1.365,1.0
Norberto T. Tuquero,1.365,15.75
Farmacia De Lorenzo,1.3671,6.0
ARC NAGUILIAN PATRON,1.3676517000000001,28.0
M-Plaza Catering Services,1.3678,10.2
ASHER ALLIED MARKETING,1.3707,24.0
Aphio General Merchandise,1.372074,7.2
JD'S Drug Distribution & Convenience Store,1.3725,4.5
SIR DAN ENTERPRISES,1.3728,7.0
EC II Construction,1.373705,17.0
E & M Trading,1.375,7.0
Marianne Ivory Agri Supply,1.379,110.0
Piddig Basi Multipurpose Cooperative,1.38,9.0
GLIDS RESTAURANT,1.38,1.0
Johann's Cuisine,1.3814,18.0
DALTHAN PRINTING PRESS,1.38633,15.0
"East-West Seed Company ,Inc.",1.38829,14.0
MIAS LUMBER ENTERPRISES,1.3885666,31.25
NEGROS BROADCASTING % PUBLISHING CORP. / BAI RADIO DYEM FM,1.393,214.0
ACW Enterprise,1.3991,15.0
Amrox Medical Systems Sales & Services,1.3996,29.0
Morning Star Marketing,1.4,30.0
Deokma Eight Trading Inc,1.4,10.0
PRINCEMARK DRUGMARK DITRBUTOR,1.4,15.0
ONE MALL O' POLY WORLD INC.,1.40782,5.0
JUAN CARLO GASOLINE STATION,1.40809,7.0
"Citi Hardware Gensan, Inc.",1.4085,5.0
Caloocan Gas Corp.,1.4099765000000002,3.0
JKQ UNIFORM SOLUTION INC.,1.4112,10.0
CHEMTECH PHILIPPINES INDUSTRIAL CO.,1.4125,9.0
R. E PHARMACEUTICALS,1.415,83.0
GENRUZ GEN. MDSE.,1.41505,3.0
"TACURONG FIT MART, INCORPORATED",1.4189875,18.0
"REBMANN, INC.",1.4225,50.25
KNOPPER TRADING,1.4270684,12.0
"Medical Center Trading Corporation, Sotera Pharma",1.432,10.0
YMV Catering Services,1.4322,6.0
Blessed St. John Pharma & General Mdse.,1.4325,4.0
SCIENTIFIC BIOTECH SPECIALTIES INC.,1.4337,15.0
Avila Medical & Hospital Supplies,1.43876,3.5
JERRY ICO,1.439775,4.0
Inkrite Ink Refilling Station,1.44,9.0
METRO HARDWARE AND HOMEWARE,1.44014,10.0
CALUMPANG-BINANGONAN PETRON SERVICE STATION,1.4414311,1.0
PERIA SEAFRONT PENSIONE,1.4441,3.0
Green Yields Agri-Enterprises,1.45,6.0
S.T. Salcedo Construction Corp.,1.45,14.0
LAURO ARAFILES,1.4522175,4.0
TPL ELECTRICAL AND CONSTRUCTION SUPPLY,1.4540719,6.0
Gevans General Merchandise,1.45792,18.0
CANDICE MEGAMART,1.4630329999999998,4.0
Print All Station,1.46548,4.0
Geff Enterprise,1.47,8.0
Hospeco Hygene Specialist,1.47,9.5
ACCESS OFFICE SYSTEM,1.47,24.0
PAYLANGCO DRY GOOD STORE,1.4703,34.666666666666664
PC Lane Marketing,1.4711,42.0
Benz-Cy Enterprises Inc.,1.476,183.0
LTS RETAIL SPECIALISTS INC,1.477185,7.0
The Tent City Rentals and SalesCorporation,1.4784,2.0
UNIQFORM TRADING,1.4795,21.0
CME MEDBIO MERKETING,1.48,7.0
Easylife Medical Enterprise,1.4830079999999999,8.0
1 TO 1 MARKETING INC.,1.4847001000000002,1.0
